sample_id,step,chunk_id,token_start,token_end,importance
local_001,0,0,0,63,0.49517765641212463
local_001,0,1,64,86,0.5048222541809082
local_001,1,0,0,63,0.5856343507766724
local_001,1,1,64,87,0.41436558961868286
local_001,2,0,0,63,0.5654491186141968
local_001,2,1,64,88,0.43455085158348083
local_001,3,0,0,63,0.5743913054466248
local_001,3,1,64,89,0.42560863494873047
local_001,4,0,0,63,0.525958776473999
local_001,4,1,64,90,0.474041223526001
local_001,5,0,0,63,0.5253599286079407
local_001,5,1,64,91,0.4746399521827698
local_001,6,0,0,63,0.49923205375671387
local_001,6,1,64,92,0.5007678270339966
local_001,7,0,0,63,0.5138290524482727
local_001,7,1,64,93,0.4861708879470825
local_001,8,0,0,63,0.5835956335067749
local_001,8,1,64,94,0.4164043664932251
local_001,9,0,0,63,0.5226828455924988
local_001,9,1,64,95,0.4773171544075012
local_001,10,0,0,63,0.5315307378768921
local_001,10,1,64,96,0.4684692919254303
local_001,11,0,0,63,0.48490026593208313
local_001,11,1,64,97,0.5150996446609497
local_001,12,0,0,63,0.5352560877799988
local_001,12,1,64,98,0.46474388241767883
local_001,13,0,0,63,0.5217425227165222
local_001,13,1,64,99,0.4782573878765106
local_001,14,0,0,63,0.5522156953811646
local_001,14,1,64,100,0.4477843642234802
local_001,15,0,0,63,0.4823668599128723
local_001,15,1,64,101,0.5176331996917725
local_002,0,0,0,63,0.6240186095237732
local_002,0,1,64,73,0.37598133087158203
local_002,1,0,0,63,0.6537871360778809
local_002,1,1,64,74,0.34621286392211914
local_002,2,0,0,63,0.6103365421295166
local_002,2,1,64,75,0.3896634876728058
local_002,3,0,0,63,0.578870415687561
local_002,3,1,64,76,0.42112961411476135
local_002,4,0,0,63,0.591413676738739
local_002,4,1,64,77,0.4085862934589386
local_002,5,0,0,63,0.6175815463066101
local_002,5,1,64,78,0.3824184238910675
local_002,6,0,0,63,0.6153711676597595
local_002,6,1,64,79,0.38462889194488525
local_002,7,0,0,63,0.6000960469245911
local_002,7,1,64,80,0.3999040722846985
local_002,8,0,0,63,0.5754355192184448
local_002,8,1,64,81,0.4245644807815552
local_002,9,0,0,63,0.5800853967666626
local_002,9,1,64,82,0.419914573431015
local_002,10,0,0,63,0.6017252206802368
local_002,10,1,64,83,0.398274689912796
local_002,11,0,0,63,0.5327348709106445
local_002,11,1,64,84,0.467265248298645
local_002,12,0,0,63,0.5187022089958191
local_002,12,1,64,85,0.48129770159721375
local_002,13,0,0,63,0.5559821128845215
local_002,13,1,64,86,0.4440178871154785
local_002,14,0,0,63,0.5483279228210449
local_002,14,1,64,87,0.45167210698127747
local_002,15,0,0,63,0.4853467047214508
local_002,15,1,64,88,0.5146532654762268
long_001,0,0,0,63,0.452393114566803
long_001,0,1,64,96,0.547606885433197
long_001,1,0,0,63,0.5025601387023926
long_001,1,1,64,97,0.4974398612976074
long_001,2,0,0,63,0.4791960120201111
long_001,2,1,64,98,0.5208040475845337
long_001,3,0,0,63,0.5141294002532959
long_001,3,1,64,99,0.4858705997467041
long_001,4,0,0,63,0.46925634145736694
long_001,4,1,64,100,0.5307437181472778
long_001,5,0,0,63,0.46301689743995667
long_001,5,1,64,101,0.5369830131530762
long_001,6,0,0,63,0.4574652314186096
long_001,6,1,64,102,0.5425348281860352
long_001,7,0,0,63,0.49949026107788086
long_001,7,1,64,103,0.5005097985267639
long_001,8,0,0,63,0.4678605794906616
long_001,8,1,64,104,0.5321394205093384
long_001,9,0,0,63,0.45956355333328247
long_001,9,1,64,105,0.5404364466667175
long_001,10,0,0,63,0.47603434324264526
long_001,10,1,64,106,0.5239657163619995
long_001,11,0,0,63,0.47107356786727905
long_001,11,1,64,107,0.5289263129234314
long_001,12,0,0,63,0.4669380784034729
long_001,12,1,64,108,0.5330618023872375
long_001,13,0,0,63,0.5224282741546631
long_001,13,1,64,109,0.47757160663604736
long_001,14,0,0,63,0.44421225786209106
long_001,14,1,64,110,0.5557876825332642
long_001,15,0,0,63,0.5807303786277771
long_001,15,1,64,111,0.4192695915699005
long_002,0,0,0,63,0.45267683267593384
long_002,0,1,64,91,0.5473231673240662
long_002,1,0,0,63,0.5069336891174316
long_002,1,1,64,92,0.49306637048721313
long_002,2,0,0,63,0.5146817564964294
long_002,2,1,64,93,0.48531824350357056
long_002,3,0,0,63,0.47162991762161255
long_002,3,1,64,94,0.5283700823783875
long_002,4,0,0,63,0.4221407175064087
long_002,4,1,64,95,0.5778592824935913
long_002,5,0,0,63,0.47983312606811523
long_002,5,1,64,96,0.5201668739318848
long_002,6,0,0,63,0.523637056350708
long_002,6,1,64,97,0.47636303305625916
long_002,7,0,0,63,0.5077511072158813
long_002,7,1,64,98,0.4922488033771515
long_002,8,0,0,63,0.5187114477157593
long_002,8,1,64,99,0.48128852248191833
long_002,9,0,0,63,0.5225517749786377
long_002,9,1,64,100,0.4774482846260071
long_002,10,0,0,63,0.5087586641311646
long_002,10,1,64,101,0.4912412166595459
long_002,11,0,0,63,0.491884708404541
long_002,11,1,64,102,0.508115291595459
long_002,12,0,0,63,0.4692443609237671
long_002,12,1,64,103,0.5307555198669434
long_002,13,0,0,63,0.47734197974205017
long_002,13,1,64,104,0.5226580500602722
long_002,14,0,0,63,0.450490802526474
long_002,14,1,64,105,0.5495091676712036
long_002,15,0,0,63,0.4341113269329071
long_002,15,1,64,106,0.5658885836601257
