sample_id,step,chunk_id,token_start,token_end,importance
local_001,0,0,0,63,0.28545916080474854
local_001,0,1,64,127,0.02138507552444935
local_001,0,2,128,191,0.00961538776755333
local_001,0,3,192,255,0.007899662479758263
local_001,0,4,256,319,0.010271269828081131
local_001,0,5,320,383,0.13283872604370117
local_001,0,6,384,405,0.5325307846069336
local_001,1,0,0,63,0.320562481880188
local_001,1,1,64,127,0.02154308557510376
local_001,1,2,128,191,0.008646531961858273
local_001,1,3,192,255,0.00687769940122962
local_001,1,4,256,319,0.00862285029143095
local_001,1,5,320,383,0.18974003195762634
local_001,1,6,384,406,0.44400739669799805
local_001,2,0,0,63,0.305884450674057
local_001,2,1,64,127,0.02124561369419098
local_001,2,2,128,191,0.009832482784986496
local_001,2,3,192,255,0.008160436525940895
local_001,2,4,256,319,0.010594386607408524
local_001,2,5,320,383,0.1888597160577774
local_001,2,6,384,407,0.45542293787002563
local_001,3,0,0,63,0.3121255338191986
local_001,3,1,64,127,0.02031564712524414
local_001,3,2,128,191,0.00875217467546463
local_001,3,3,192,255,0.007140840403735638
local_001,3,4,256,319,0.009460460394620895
local_001,3,5,320,383,0.15277299284934998
local_001,3,6,384,408,0.4894323945045471
local_001,4,0,0,63,0.3133702278137207
local_001,4,1,64,127,0.01929521933197975
local_001,4,2,128,191,0.008647541515529156
local_001,4,3,192,255,0.007304584141820669
local_001,4,4,256,319,0.009166708216071129
local_001,4,5,320,383,0.21162943542003632
local_001,4,6,384,409,0.4305863380432129
local_001,5,0,0,63,0.32672786712646484
local_001,5,1,64,127,0.02081361785531044
local_001,5,2,128,191,0.009450663812458515
local_001,5,3,192,255,0.008401581086218357
local_001,5,4,256,319,0.009974882937967777
local_001,5,5,320,383,0.2182087004184723
local_001,5,6,384,410,0.40642276406288147
local_001,6,0,0,63,0.3380909860134125
local_001,6,1,64,127,0.021597452461719513
local_001,6,2,128,191,0.009662432596087456
local_001,6,3,192,255,0.008176740258932114
local_001,6,4,256,319,0.010021929629147053
local_001,6,5,320,383,0.2218053936958313
local_001,6,6,384,411,0.3906450867652893
local_001,7,0,0,63,0.3077881336212158
local_001,7,1,64,127,0.020489908754825592
local_001,7,2,128,191,0.009380778297781944
local_001,7,3,192,255,0.008077733218669891
local_001,7,4,256,319,0.010455239564180374
local_001,7,5,320,383,0.17223823070526123
local_001,7,6,384,412,0.4715699851512909
local_001,8,0,0,63,0.2658100128173828
local_001,8,1,64,127,0.020412251353263855
local_001,8,2,128,191,0.009440697729587555
local_001,8,3,192,255,0.008666075766086578
local_001,8,4,256,319,0.010969504714012146
local_001,8,5,320,383,0.1595446765422821
local_001,8,6,384,413,0.5251568555831909
local_001,9,0,0,63,0.31080496311187744
local_001,9,1,64,127,0.01895909011363983
local_001,9,2,128,191,0.008063471876084805
local_001,9,3,192,255,0.006948240101337433
local_001,9,4,256,319,0.00868181698024273
local_001,9,5,320,383,0.19421854615211487
local_001,9,6,384,414,0.452323853969574
local_001,10,0,0,63,0.32918059825897217
local_001,10,1,64,127,0.020377302542328835
local_001,10,2,128,191,0.008675988763570786
local_001,10,3,192,255,0.0077765039168298244
local_001,10,4,256,319,0.00929691456258297
local_001,10,5,320,383,0.2080135941505432
local_001,10,6,384,415,0.4166790843009949
local_001,11,0,0,63,0.3639605939388275
local_001,11,1,64,127,0.0218267310410738
local_001,11,2,128,191,0.010139236226677895
local_001,11,3,192,255,0.00807882845401764
local_001,11,4,256,319,0.010018670931458473
local_001,11,5,320,383,0.20947754383087158
local_001,11,6,384,416,0.37649843096733093
local_001,12,0,0,63,0.35519203543663025
local_001,12,1,64,127,0.020830906927585602
local_001,12,2,128,191,0.009804555214941502
local_001,12,3,192,255,0.008590287528932095
local_001,12,4,256,319,0.010729210451245308
local_001,12,5,320,383,0.17175650596618652
local_001,12,6,384,417,0.42309653759002686
local_001,13,0,0,63,0.3048872649669647
local_001,13,1,64,127,0.02082778513431549
local_001,13,2,128,191,0.008576705120503902
local_001,13,3,192,255,0.007123115472495556
local_001,13,4,256,319,0.008606405928730965
local_001,13,5,320,383,0.20093782246112823
local_001,13,6,384,418,0.44904088973999023
local_001,14,0,0,63,0.27939414978027344
local_001,14,1,64,127,0.02025805599987507
local_001,14,2,128,191,0.008568741381168365
local_001,14,3,192,255,0.007307596504688263
local_001,14,4,256,319,0.009059532545506954
local_001,14,5,320,383,0.24913614988327026
local_001,14,6,384,419,0.4262758791446686
local_001,15,0,0,63,0.41344231367111206
local_001,15,1,64,127,0.02246960811316967
local_001,15,2,128,191,0.009572973474860191
local_001,15,3,192,255,0.007745153270661831
local_001,15,4,256,319,0.009195661172270775
local_001,15,5,320,383,0.17214569449424744
local_001,15,6,384,420,0.3654286563396454
local_002,0,0,0,63,0.28946763277053833
local_002,0,1,64,127,0.023549851030111313
local_002,0,2,128,191,0.012308526784181595
local_002,0,3,192,255,0.007959016598761082
local_002,0,4,256,319,0.007037596311420202
local_002,0,5,320,383,0.009292960166931152
local_002,0,6,384,447,0.2730589807033539
local_002,0,7,448,459,0.3773254156112671
local_002,1,0,0,63,0.3113170862197876
local_002,1,1,64,127,0.022739175707101822
local_002,1,2,128,191,0.011453166604042053
local_002,1,3,192,255,0.0069874003529548645
local_002,1,4,256,319,0.006248139310628176
local_002,1,5,320,383,0.008433587849140167
local_002,1,6,384,447,0.28284507989883423
local_002,1,7,448,460,0.34997648000717163
local_002,2,0,0,63,0.3912971615791321
local_002,2,1,64,127,0.03035411611199379
local_002,2,2,128,191,0.01980167254805565
