sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
local_001,0,nan,nan,nan
local_001,1,1.0,0.0,0.9642857142857145
local_001,2,1.0,0.0,0.9642857142857145
local_001,3,1.0,0.0,1.0
local_001,4,1.0,0.0,1.0
local_001,5,1.0,0.0,1.0
local_001,6,1.0,0.0,1.0
local_001,7,1.0,0.0,1.0
local_001,8,1.0,0.0,1.0
local_001,9,1.0,0.0,1.0
local_001,10,1.0,0.0,1.0
local_001,11,1.0,0.0,0.9642857142857145
local_001,12,1.0,0.0,0.9642857142857145
local_001,13,1.0,0.0,1.0
local_001,14,1.0,0.0,1.0
local_001,15,1.0,0.0,0.9285714285714288
local_002,0,nan,nan,nan
local_002,1,1.0,0.0,1.0
local_002,2,1.0,0.0,0.9761904761904763
local_002,3,1.0,0.0,0.9761904761904763
local_002,4,1.0,0.0,1.0
local_002,5,1.0,0.0,1.0
local_002,6,1.0,0.0,1.0
local_002,7,1.0,0.0,1.0
local_002,8,1.0,0.0,1.0
local_002,9,1.0,0.0,1.0
local_002,10,1.0,0.0,0.9761904761904763
local_002,11,1.0,0.0,1.0
local_002,12,1.0,0.0,0.9761904761904763
local_002,13,1.0,0.0,0.9761904761904763
local_002,14,1.0,0.0,0.9761904761904763
local_002,15,1.0,0.0,1.0
long_001,0,nan,nan,nan
long_001,1,1.0,0.0,0.9761904761904763
long_001,2,1.0,0.0,1.0
long_001,3,1.0,0.0,1.0
long_001,4,1.0,0.0,0.9761904761904763
long_001,5,1.0,0.0,0.9761904761904763
long_001,6,1.0,0.0,1.0
long_001,7,1.0,0.0,1.0
long_001,8,1.0,0.0,1.0
long_001,9,1.0,0.0,1.0
long_001,10,1.0,0.0,1.0
long_001,11,1.0,0.0,1.0
long_001,12,1.0,0.0,1.0
long_001,13,1.0,0.0,0.9761904761904763
long_001,14,1.0,0.0,0.9761904761904763
long_001,15,1.0,0.0,0.9761904761904763
long_002,0,nan,nan,nan
long_002,1,1.0,0.0,1.0
long_002,2,0.5,0.5,0.9761904761904763
long_002,3,1.0,0.0,0.9761904761904763
long_002,4,1.0,0.0,1.0
long_002,5,1.0,0.0,0.9761904761904763
long_002,6,0.5,0.5,0.9761904761904763
long_002,7,1.0,0.0,1.0
long_002,8,0.5,0.5,0.9761904761904763
long_002,9,1.0,0.0,0.9761904761904763
long_002,10,1.0,0.0,0.9761904761904763
long_002,11,0.5,0.5,0.9761904761904763
long_002,12,1.0,0.0,1.0
long_002,13,1.0,0.0,0.9761904761904763
long_002,14,1.0,0.0,0.9761904761904763
long_002,15,1.0,0.0,1.0
