sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.28204384446144104
local_01,0,1,64,127,0.022829677909612656
local_01,0,2,128,191,0.030272241681814194
local_01,0,3,192,255,0.021218109875917435
local_01,0,4,256,319,0.013657476752996445
local_01,0,5,320,383,0.007864437997341156
local_01,0,6,384,447,0.006364742293953896
local_01,0,7,448,511,0.005552792921662331
local_01,0,8,512,575,0.006457360461354256
local_01,0,9,576,639,0.011499222368001938
local_01,0,10,640,703,0.21926337480545044
local_01,0,11,704,712,0.3729766309261322
local_01,1,0,0,63,0.32604652643203735
local_01,1,1,64,127,0.018870824947953224
local_01,1,2,128,191,0.0273455660790205
local_01,1,3,192,255,0.019052807241678238
local_01,1,4,256,319,0.017226122319698334
local_01,1,5,320,383,0.007496807724237442
local_01,1,6,384,447,0.006794215179979801
local_01,1,7,448,511,0.005161414388567209
local_01,1,8,512,575,0.005641867406666279
local_01,1,9,576,639,0.011259783059358597
local_01,1,10,640,703,0.2224934697151184
local_01,1,11,704,713,0.3326106071472168
local_01,2,0,0,63,0.3304905593395233
local_01,2,1,64,127,0.016692131757736206
local_01,2,2,128,191,0.019715670496225357
local_01,2,3,192,255,0.01708514243364334
local_01,2,4,256,319,0.015520606189966202
local_01,2,5,320,383,0.008716044947504997
local_01,2,6,384,447,0.006898275576531887
local_01,2,7,448,511,0.005712341982871294
local_01,2,8,512,575,0.007118868641555309
local_01,2,9,576,639,0.012164130806922913
local_01,2,10,640,703,0.1633208692073822
local_01,2,11,704,714,0.39656534790992737
local_01,3,0,0,63,0.3204697370529175
local_01,3,1,64,127,0.017249973490834236
local_01,3,2,128,191,0.018485307693481445
local_01,3,3,192,255,0.015665916725993156
local_01,3,4,256,319,0.013887716457247734
local_01,3,5,320,383,0.007728740107268095
local_01,3,6,384,447,0.006027181167155504
local_01,3,7,448,511,0.0056786006316542625
local_01,3,8,512,575,0.007163642905652523
local_01,3,9,576,639,0.012550138868391514
local_01,3,10,640,703,0.17275065183639526
local_01,3,11,704,715,0.40234240889549255
local_01,4,0,0,63,0.3248754143714905
local_01,4,1,64,127,0.026911785826086998
local_01,4,2,128,191,0.03163919225335121
local_01,4,3,192,255,0.01778325065970421
local_01,4,4,256,319,0.012790475971996784
local_01,4,5,320,383,0.006575956009328365
local_01,4,6,384,447,0.00480503449216485
local_01,4,7,448,511,0.004734566900879145
local_01,4,8,512,575,0.005132091697305441
local_01,4,9,576,639,0.009246116504073143
local_01,4,10,640,703,0.1697467565536499
local_01,4,11,704,716,0.38575929403305054
local_01,5,0,0,63,0.3352353274822235
local_01,5,1,64,127,0.037046246230602264
local_01,5,2,128,191,0.036193668842315674
local_01,5,3,192,255,0.017186755314469337
local_01,5,4,256,319,0.013923568651080132
local_01,5,5,320,383,0.006627202965319157
local_01,5,6,384,447,0.005656204652041197
local_01,5,7,448,511,0.005264931358397007
local_01,5,8,512,575,0.005673189181834459
local_01,5,9,576,639,0.010432763025164604
local_01,5,10,640,703,0.15573039650917053
local_01,5,11,704,717,0.3710297644138336
local_01,6,0,0,63,0.3719218075275421
local_01,6,1,64,127,0.020800704136490822
local_01,6,2,128,191,0.025132425129413605
local_01,6,3,192,255,0.013156048953533173
local_01,6,4,256,319,0.01303416583687067
local_01,6,5,320,383,0.0066126687452197075
local_01,6,6,384,447,0.004890589974820614
local_01,6,7,448,511,0.004894793499261141
local_01,6,8,512,575,0.005217761266976595
local_01,6,9,576,639,0.009348070248961449
local_01,6,10,640,703,0.13511328399181366
local_01,6,11,704,718,0.38987770676612854
local_01,7,0,0,63,0.3546191155910492
local_01,7,1,64,127,0.021629855036735535
local_01,7,2,128,191,0.02577330730855465
local_01,7,3,192,255,0.01592116430401802
local_01,7,4,256,319,0.012346703559160233
local_01,7,5,320,383,0.006542764604091644
local_01,7,6,384,447,0.005711124278604984
local_01,7,7,448,511,0.005384530872106552
local_01,7,8,512,575,0.006049493793398142
local_01,7,9,576,639,0.01121197734028101
local_01,7,10,640,703,0.13674047589302063
local_01,7,11,704,719,0.39806944131851196
local_01,8,0,0,63,0.44882458448410034
local_01,8,1,64,127,0.011349978856742382
local_01,8,2,128,191,0.011058595031499863
local_01,8,3,192,255,0.014913927763700485
local_01,8,4,256,319,0.012744054198265076
local_01,8,5,320,383,0.005921049974858761
local_01,8,6,384,447,0.004734471440315247
local_01,8,7,448,511,0.004264472983777523
local_01,8,8,512,575,0.004647738300263882
local_01,8,9,576,639,0.008328933268785477
local_01,8,10,640,703,0.09919032454490662
local_01,8,11,704,720,0.374021977186203
local_01,9,0,0,63,0.32100626826286316
local_01,9,1,64,127,0.018636580556631088
local_01,9,2,128,191,0.02300642430782318
local_01,9,3,192,255,0.014975417405366898
local_01,9,4,256,319,0.013657521456480026
local_01,9,5,320,383,0.006579388864338398
local_01,9,6,384,447,0.005345907993614674
local_01,9,7,448,511,0.004833361133933067
local_01,9,8,512,575,0.005309725180268288
local_01,9,9,576,639,0.009226009249687195
local_01,9,10,640,703,0.1361837387084961
local_01,9,11,704,721,0.4412396550178528
local_01,10,0,0,63,0.31807243824005127
local_01,10,1,64,127,0.01952178031206131
local_01,10,2,128,191,0.028782133013010025
local_01,10,3,192,255,0.01715930737555027
local_01,10,4,256,319,0.018152648583054543
local_01,10,5,320,383,0.007713228464126587
local_01,10,6,384,447,0.00638573570176959
local_01,10,7,448,511,0.005203695502132177
local_01,10,8,512,575,0.005524956155568361
local_01,10,9,576,639,0.010148180648684502
local_01,10,10,640,703,0.13753603398799896
local_01,10,11,704,722,0.4257999062538147
local_01,11,0,0,63,0.3163778483867645
local_01,11,1,64,127,0.018784906715154648
local_01,11,2,128,191,0.020871877670288086
local_01,11,3,192,255,0.016294395551085472
local_01,11,4,256,319,0.016919903457164764
local_01,11,5,320,383,0.00924261286854744
local_01,11,6,384,447,0.0072942376136779785
local_01,11,7,448,511,0.006073687691241503
local_01,11,8,512,575,0.007315001450479031
local_01,11,9,576,639,0.011573098599910736
local_01,11,10,640,703,0.11445287615060806
local_01,11,11,704,723,0.4547995924949646
local_01,12,0,0,63,0.30042245984077454
local_01,12,1,64,127,0.017054032534360886
local_01,12,2,128,191,0.017682183533906937
local_01,12,3,192,255,0.014337651431560516
local_01,12,4,256,319,0.01521187461912632
local_01,12,5,320,383,0.008117498829960823
local_01,12,6,384,447,0.006234209053218365
local_01,12,7,448,511,0.005883621983230114
local_01,12,8,512,575,0.007169157266616821
local_01,12,9,576,639,0.011826205998659134
local_01,12,10,640,703,0.1150878518819809
local_01,12,11,704,724,0.48097336292266846
local_01,13,0,0,63,0.309369832277298
local_01,13,1,64,127,0.01874949038028717
local_01,13,2,128,191,0.022219553589820862
local_01,13,3,192,255,0.014413795433938503
local_01,13,4,256,319,0.013992301188409328
local_01,13,5,320,383,0.006601029075682163
local_01,13,6,384,447,0.004831322468817234
