subtype,chunk_id,topk_count,subtype_topk_rows,frequency,mean_importance
local,0,160,480,0.3333333333333333,0.33244667835533614
local,10,160,480,0.3333333333333333,0.15637849410995835
local,11,156,480,0.325,0.4117019314509936
local,9,2,480,0.004166666666666667,0.0222441451624035
local,1,1,480,0.0020833333333333333,0.0347945280373096
local,3,1,480,0.0020833333333333333,0.0249731261283159
early_recall,0,160,480,0.3333333333333333,0.42819227315485475
early_recall,10,160,480,0.3333333333333333,0.17235975526273245
early_recall,11,160,480,0.3333333333333333,0.300464428262785
middle_recall,0,160,480,0.3333333333333333,0.3243475772440433
middle_recall,10,160,480,0.3333333333333333,0.23283495474606747
middle_recall,11,156,480,0.325,0.3064696659596684
middle_recall,5,4,480,0.008333333333333333,0.038490755483508075
comparison,0,160,480,0.3333333333333333,0.3264405251480639
comparison,10,160,480,0.3333333333333333,0.15521319797262545
comparison,11,160,480,0.3333333333333333,0.38038773722946645
