sample_id,step,topk_rank,chunk_id,importance
local_01,0,1,11,0.3729766309261322
local_01,0,2,0,0.28204384446144104
local_01,0,3,10,0.21926337480545044
local_01,1,1,11,0.3326106071472168
local_01,1,2,0,0.32604652643203735
local_01,1,3,10,0.2224934697151184
local_01,2,1,11,0.39656534790992737
local_01,2,2,0,0.3304905593395233
local_01,2,3,10,0.1633208692073822
local_01,3,1,11,0.40234240889549255
local_01,3,2,0,0.3204697370529175
local_01,3,3,10,0.17275065183639526
local_01,4,1,11,0.38575929403305054
local_01,4,2,0,0.3248754143714905
local_01,4,3,10,0.1697467565536499
local_01,5,1,11,0.3710297644138336
local_01,5,2,0,0.3352353274822235
local_01,5,3,10,0.15573039650917053
local_01,6,1,11,0.38987770676612854
local_01,6,2,0,0.3719218075275421
local_01,6,3,10,0.13511328399181366
local_01,7,1,11,0.39806944131851196
local_01,7,2,0,0.3546191155910492
local_01,7,3,10,0.13674047589302063
local_01,8,1,0,0.44882458448410034
local_01,8,2,11,0.374021977186203
local_01,8,3,10,0.09919032454490662
local_01,9,1,11,0.4412396550178528
local_01,9,2,0,0.32100626826286316
local_01,9,3,10,0.1361837387084961
local_01,10,1,11,0.4257999062538147
local_01,10,2,0,0.31807243824005127
local_01,10,3,10,0.13753603398799896
local_01,11,1,11,0.4547995924949646
local_01,11,2,0,0.3163778483867645
local_01,11,3,10,0.11445287615060806
local_01,12,1,11,0.48097336292266846
local_01,12,2,0,0.30042245984077454
local_01,12,3,10,0.1150878518819809
local_01,13,1,11,0.480886846780777
local_01,13,2,0,0.309369832277298
local_01,13,3,10,0.11076342314481735
local_01,14,1,11,0.4768993854522705
local_01,14,2,0,0.3057292401790619
local_01,14,3,10,0.10774614661931992
local_01,15,1,11,0.4834742844104767
local_01,15,2,0,0.3244446814060211
local_01,15,3,10,0.09660936892032623
local_02,0,1,11,0.3887633681297302
local_02,0,2,0,0.2828279435634613
local_02,0,3,10,0.20082056522369385
local_02,1,1,11,0.34679266810417175
local_02,1,2,0,0.32643386721611023
local_02,1,3,10,0.20986561477184296
local_02,2,1,11,0.40512773394584656
local_02,2,2,0,0.32828208804130554
local_02,2,3,10,0.15782573819160461
local_02,3,1,11,0.40969493985176086
local_02,3,2,0,0.32445934414863586
local_02,3,3,10,0.16271498799324036
local_02,4,1,11,0.405013769865036
local_02,4,2,0,0.311344712972641
local_02,4,3,10,0.16701725125312805
local_02,5,1,11,0.3740960955619812
local_02,5,2,0,0.3159385323524475
local_02,5,3,10,0.18401306867599487
local_02,6,1,11,0.36216533184051514
local_02,6,2,0,0.34788036346435547
local_02,6,3,10,0.12881284952163696
local_02,7,1,0,0.38140761852264404
local_02,7,2,11,0.35773757100105286
local_02,7,3,10,0.1148783341050148
local_02,8,1,0,0.3993603587150574
local_02,8,2,11,0.37112101912498474
local_02,8,3,10,0.11023710668087006
local_02,9,1,11,0.44374266266822815
local_02,9,2,0,0.31098607182502747
local_02,9,3,10,0.1509363055229187
local_02,10,1,0,0.45406031608581543
local_02,10,2,11,0.37741056084632874
local_02,10,3,10,0.10063225030899048
local_02,11,1,11,0.46664389967918396
local_02,11,2,0,0.272433340549469
local_02,11,3,10,0.1610032618045807
local_02,12,1,11,0.475089967250824
local_02,12,2,0,0.2888968586921692
local_02,12,3,10,0.13585951924324036
local_02,13,1,11,0.47246718406677246
local_02,13,2,0,0.3235441744327545
local_02,13,3,10,0.12090390920639038
local_02,14,1,11,0.46038657426834106
local_02,14,2,0,0.34789010882377625
local_02,14,3,10,0.10136064887046814
local_02,15,1,11,0.46863508224487305
local_02,15,2,0,0.32982367277145386
local_02,15,3,10,0.09406501054763794
local_03,0,1,11,0.3989585041999817
local_03,0,2,0,0.2830844521522522
local_03,0,3,10,0.19175006449222565
local_03,1,1,11,0.3544263541698456
local_03,1,2,0,0.3314942419528961
local_03,1,3,10,0.19975335896015167
local_03,2,1,11,0.41224610805511475
local_03,2,2,0,0.3350207805633545
local_03,2,3,10,0.14701059460639954
local_03,3,1,11,0.4248740077018738
local_03,3,2,0,0.32356223464012146
local_03,3,3,10,0.14827346801757812
local_03,4,1,11,0.41016942262649536
local_03,4,2,0,0.326774924993515
local_03,4,3,10,0.14500293135643005
local_03,5,1,11,0.38830554485321045
local_03,5,2,0,0.3454076945781708
local_03,5,3,10,0.13476988673210144
local_03,6,1,11,0.39947745203971863
local_03,6,2,0,0.3770766258239746
local_03,6,3,10,0.12449444085359573
local_03,7,1,11,0.41102126240730286
local_03,7,2,0,0.3618896007537842
local_03,7,3,10,0.11996175348758698
local_03,8,1,0,0.45095908641815186
local_03,8,2,11,0.38136571645736694
local_03,8,3,10,0.09184300899505615
local_03,9,1,11,0.4509206712245941
local_03,9,2,0,0.32527923583984375
local_03,9,3,10,0.12550806999206543
local_03,10,1,11,0.4382418692111969
local_03,10,2,0,0.3230764865875244
local_03,10,3,10,0.1231047734618187
local_03,11,1,11,0.46075543761253357
local_03,11,2,0,0.3252386450767517
local_03,11,3,10,0.1040419340133667
local_03,12,1,11,0.4885268807411194
local_03,12,2,0,0.30710217356681824
local_03,12,3,10,0.10215158760547638
local_03,13,1,11,0.49521470069885254
local_03,13,2,0,0.31294530630111694
local_03,13,3,10,0.09544520080089569
local_03,14,1,11,0.48851996660232544
local_03,14,2,0,0.3114461600780487
local_03,14,3,10,0.09442400932312012
local_03,15,1,11,0.49103015661239624
local_03,15,2,0,0.3274867534637451
local_03,15,3,10,0.0884750485420227
local_04,0,1,10,0.5619427561759949
local_04,0,2,0,0.2925330102443695
local_04,0,3,1,0.03479452803730965
local_04,1,1,10,0.5331948399543762
local_04,1,2,0,0.3363986015319824
local_04,1,3,3,0.024973126128315926
local_04,2,1,10,0.5377996563911438
local_04,2,2,0,0.3387790620326996
local_04,2,3,9,0.02283593639731407
local_04,3,1,10,0.5531712174415588
local_04,3,2,0,0.3276480436325073
local_04,3,3,9,0.021652353927493095
local_04,4,1,10,0.4626253843307495
local_04,4,2,0,0.3336770236492157
local_04,4,3,11,0.06718858331441879
local_04,5,1,0,0.35293176770210266
local_04,5,2,10,0.352189302444458
local_04,5,3,11,0.14840303361415863
local_04,6,1,0,0.3811838626861572
local_04,6,2,10,0.29647696018218994
local_04,6,3,11,0.21037928760051727
local_04,7,1,0,0.36614492535591125
local_04,7,2,10,0.2945183515548706
local_04,7,3,11,0.21319472789764404
local_04,8,1,0,0.452567994594574
local_04,8,2,10,0.25430023670196533
local_04,8,3,11,0.20821256935596466
local_04,9,1,0,0.3313395380973816
local_04,9,2,10,0.28852128982543945
local_04,9,3,11,0.2676902115345001
local_04,10,1,0,0.3282555341720581
local_04,10,2,11,0.274752140045166
local_04,10,3,10,0.26896244287490845
local_04,11,1,0,0.3240085542201996
local_04,11,2,11,0.28973203897476196
local_04,11,3,10,0.25977665185928345
local_04,12,1,11,0.36456775665283203
