sample_id,step,topk_rank,chunk_id,importance
local_01,0,1,11,0.3729766309261322
local_01,0,2,0,0.28204384446144104
local_01,0,3,10,0.21926337480545044
local_01,1,1,11,0.3326106071472168
local_01,1,2,0,0.32604652643203735
local_01,1,3,10,0.2224934697151184
local_01,2,1,11,0.39656534790992737
local_01,2,2,0,0.3304905593395233
local_01,2,3,10,0.1633208692073822
local_01,3,1,11,0.40234240889549255
local_01,3,2,0,0.3204697370529175
local_01,3,3,10,0.17275065183639526
early_recall_01,0,1,10,0.4920365810394287
early_recall_01,0,2,0,0.3350144624710083
early_recall_01,0,3,11,0.05787108466029167
early_recall_01,1,1,10,0.3839837312698364
early_recall_01,1,2,0,0.3732212483882904
early_recall_01,1,3,11,0.12016831338405609
early_recall_01,2,1,0,0.40137746930122375
early_recall_01,2,2,10,0.3228974938392639
early_recall_01,2,3,11,0.1826247125864029
early_recall_01,3,1,0,0.40074580907821655
early_recall_01,3,2,11,0.2428669035434723
early_recall_01,3,3,10,0.24271784722805023
middle_recall_01,0,1,10,0.573436439037323
middle_recall_01,0,2,0,0.2749615013599396
middle_recall_01,0,3,5,0.0322854146361351
middle_recall_01,1,1,10,0.4451417326927185
middle_recall_01,1,2,0,0.3120358884334564
middle_recall_01,1,3,11,0.06865967810153961
middle_recall_01,2,1,10,0.38740503787994385
middle_recall_01,2,2,0,0.3297673165798187
middle_recall_01,2,3,11,0.1501607894897461
middle_recall_01,3,1,0,0.3375818133354187
middle_recall_01,3,2,10,0.30139148235321045
middle_recall_01,3,3,11,0.20861098170280457
comparison_01,0,1,11,0.3490946292877197
comparison_01,0,2,0,0.2899037301540375
comparison_01,0,3,10,0.22740709781646729
comparison_01,1,1,0,0.33065393567085266
comparison_01,1,2,11,0.2820606231689453
comparison_01,1,3,10,0.22914139926433563
comparison_01,2,1,0,0.3559613823890686
comparison_01,2,2,11,0.307800829410553
comparison_01,2,3,10,0.19338977336883545
comparison_01,3,1,0,0.34442150592803955
comparison_01,3,2,11,0.3300725221633911
comparison_01,3,3,10,0.19887977838516235
