sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.28204384446144104
local_01,0,1,64,127,0.022829677909612656
local_01,0,2,128,191,0.030272241681814194
local_01,0,3,192,255,0.021218109875917435
local_01,0,4,256,319,0.013657476752996445
local_01,0,5,320,383,0.007864437997341156
local_01,0,6,384,447,0.006364742293953896
local_01,0,7,448,511,0.005552792921662331
local_01,0,8,512,575,0.006457360461354256
local_01,0,9,576,639,0.011499222368001938
local_01,0,10,640,703,0.21926337480545044
local_01,0,11,704,712,0.3729766309261322
local_01,1,0,0,63,0.32604652643203735
local_01,1,1,64,127,0.018870824947953224
local_01,1,2,128,191,0.0273455660790205
local_01,1,3,192,255,0.019052807241678238
local_01,1,4,256,319,0.017226122319698334
local_01,1,5,320,383,0.007496807724237442
local_01,1,6,384,447,0.006794215179979801
local_01,1,7,448,511,0.005161414388567209
local_01,1,8,512,575,0.005641867406666279
local_01,1,9,576,639,0.011259783059358597
local_01,1,10,640,703,0.2224934697151184
local_01,1,11,704,713,0.3326106071472168
local_01,2,0,0,63,0.3304905593395233
local_01,2,1,64,127,0.016692131757736206
local_01,2,2,128,191,0.019715670496225357
local_01,2,3,192,255,0.01708514243364334
local_01,2,4,256,319,0.015520606189966202
local_01,2,5,320,383,0.008716044947504997
local_01,2,6,384,447,0.006898275576531887
local_01,2,7,448,511,0.005712341982871294
local_01,2,8,512,575,0.007118868641555309
local_01,2,9,576,639,0.012164130806922913
local_01,2,10,640,703,0.1633208692073822
local_01,2,11,704,714,0.39656534790992737
local_01,3,0,0,63,0.3204697370529175
local_01,3,1,64,127,0.017249973490834236
local_01,3,2,128,191,0.018485307693481445
local_01,3,3,192,255,0.015665916725993156
local_01,3,4,256,319,0.013887716457247734
local_01,3,5,320,383,0.007728740107268095
local_01,3,6,384,447,0.006027181167155504
local_01,3,7,448,511,0.0056786006316542625
local_01,3,8,512,575,0.007163642905652523
local_01,3,9,576,639,0.012550138868391514
local_01,3,10,640,703,0.17275065183639526
local_01,3,11,704,715,0.40234240889549255
early_recall_01,0,0,0,63,0.3350144624710083
early_recall_01,0,1,64,127,0.021005937829613686
early_recall_01,0,2,128,191,0.021549686789512634
early_recall_01,0,3,192,255,0.021205343306064606
early_recall_01,0,4,256,319,0.013560844585299492
early_recall_01,0,5,320,383,0.00862862542271614
early_recall_01,0,6,384,447,0.006112494505941868
early_recall_01,0,7,448,511,0.004923533648252487
early_recall_01,0,8,512,575,0.006172552704811096
early_recall_01,0,9,576,639,0.011918734759092331
early_recall_01,0,10,640,703,0.4920365810394287
early_recall_01,0,11,704,704,0.05787108466029167
early_recall_01,1,0,0,63,0.3732212483882904
early_recall_01,1,1,64,127,0.02202877774834633
early_recall_01,1,2,128,191,0.023904606699943542
early_recall_01,1,3,192,255,0.0223628468811512
early_recall_01,1,4,256,319,0.01732136867940426
early_recall_01,1,5,320,383,0.008246166631579399
early_recall_01,1,6,384,447,0.0067182122729718685
early_recall_01,1,7,448,511,0.004834667779505253
early_recall_01,1,8,512,575,0.005524721462279558
early_recall_01,1,9,576,639,0.01168525218963623
early_recall_01,1,10,640,703,0.3839837312698364
early_recall_01,1,11,704,705,0.12016831338405609
early_recall_01,2,0,0,63,0.40137746930122375
early_recall_01,2,1,64,127,0.013135923072695732
early_recall_01,2,2,128,191,0.014630278572440147
early_recall_01,2,3,192,255,0.01605602353811264
early_recall_01,2,4,256,319,0.012508530169725418
early_recall_01,2,5,320,383,0.007190492004156113
early_recall_01,2,6,384,447,0.005427529104053974
early_recall_01,2,7,448,511,0.005332171451300383
early_recall_01,2,8,512,575,0.006415680982172489
early_recall_01,2,9,576,639,0.012403624132275581
early_recall_01,2,10,640,703,0.3228974938392639
early_recall_01,2,11,704,706,0.1826247125864029
early_recall_01,3,0,0,63,0.40074580907821655
early_recall_01,3,1,64,127,0.019634436815977097
early_recall_01,3,2,128,191,0.02227279543876648
early_recall_01,3,3,192,255,0.019880026578903198
early_recall_01,3,4,256,319,0.013590587303042412
early_recall_01,3,5,320,383,0.008158000186085701
early_recall_01,3,6,384,447,0.005447974894195795
early_recall_01,3,7,448,511,0.006096573546528816
early_recall_01,3,8,512,575,0.005695534870028496
early_recall_01,3,9,576,639,0.01289351750165224
early_recall_01,3,10,640,703,0.24271784722805023
early_recall_01,3,11,704,707,0.2428669035434723
middle_recall_01,0,0,0,63,0.2749615013599396
middle_recall_01,0,1,64,127,0.023682251572608948
middle_recall_01,0,2,128,191,0.022369127720594406
middle_recall_01,0,3,192,255,0.02475666254758835
middle_recall_01,0,4,256,319,0.014827381819486618
middle_recall_01,0,5,320,383,0.0322854146361351
middle_recall_01,0,6,384,447,0.008305378258228302
middle_recall_01,0,7,448,511,0.006628002040088177
middle_recall_01,0,8,512,575,0.006314187776297331
middle_recall_01,0,9,576,639,0.012433781288564205
middle_recall_01,0,10,640,703,0.573436439037323
middle_recall_01,1,0,0,63,0.3120358884334564
middle_recall_01,1,1,64,127,0.023447303101420403
middle_recall_01,1,2,128,191,0.021404918283224106
middle_recall_01,1,3,192,255,0.028615403920412064
middle_recall_01,1,4,256,319,0.01597600057721138
middle_recall_01,1,5,320,383,0.05247148126363754
middle_recall_01,1,6,384,447,0.007323011755943298
middle_recall_01,1,7,448,511,0.006991272792220116
middle_recall_01,1,8,512,575,0.005887005478143692
middle_recall_01,1,9,576,639,0.012046337127685547
middle_recall_01,1,10,640,703,0.4451417326927185
middle_recall_01,1,11,704,704,0.06865967810153961
middle_recall_01,2,0,0,63,0.3297673165798187
middle_recall_01,2,1,64,127,0.016722546890378
middle_recall_01,2,2,128,191,0.01913883164525032
middle_recall_01,2,3,192,255,0.01941669173538685
middle_recall_01,2,4,256,319,0.012888137251138687
middle_recall_01,2,5,320,383,0.034828945994377136
middle_recall_01,2,6,384,447,0.006305628456175327
middle_recall_01,2,7,448,511,0.005440054461359978
middle_recall_01,2,8,512,575,0.005780510138720274
middle_recall_01,2,9,576,639,0.012145478278398514
middle_recall_01,2,10,640,703,0.38740503787994385
middle_recall_01,2,11,704,705,0.1501607894897461
middle_recall_01,3,0,0,63,0.3375818133354187
middle_recall_01,3,1,64,127,0.01635078713297844
middle_recall_01,3,2,128,191,0.02185732126235962
middle_recall_01,3,3,192,255,0.02691991999745369
middle_recall_01,3,4,256,319,0.013336390256881714
middle_recall_01,3,5,320,383,0.03196249529719353
middle_recall_01,3,6,384,447,0.007617533206939697
middle_recall_01,3,7,448,511,0.010032335296273232
middle_recall_01,3,8,512,575,0.0065904706716537476
middle_recall_01,3,9,576,639,0.017748504877090454
middle_recall_01,3,10,640,703,0.30139148235321045
middle_recall_01,3,11,704,706,0.20861098170280457
comparison_01,0,0,0,63,0.2899037301540375
comparison_01,0,1,64,127,0.01866362988948822
comparison_01,0,2,128,191,0.013812043704092503
comparison_01,0,3,192,255,0.021180054172873497
