sample_id,step,chunk_id,token_start,token_end,importance
local_001,0,0,0,31,0.39840632677078247
local_001,0,1,32,63,0.09677131474018097
local_001,0,2,64,86,0.5048222541809082
local_001,1,0,0,31,0.4539128541946411
local_001,1,1,32,63,0.13172152638435364
local_001,1,2,64,87,0.41436558961868286
local_002,0,0,0,31,0.41728928685188293
local_002,0,1,32,63,0.20672929286956787
local_002,0,2,64,73,0.37598133087158203
local_002,1,0,0,31,0.46730315685272217
local_002,1,1,32,63,0.1864839792251587
local_002,1,2,64,74,0.34621286392211914
long_001,0,0,0,31,0.3785753846168518
long_001,0,1,32,63,0.07381770014762878
long_001,0,2,64,95,0.4856122136116028
long_001,0,3,96,96,0.061994656920433044
long_001,1,0,0,31,0.41686832904815674
long_001,1,1,32,63,0.08569181710481644
long_001,1,2,64,95,0.36819177865982056
long_001,1,3,96,97,0.12924809753894806
long_002,0,0,0,31,0.3849281966686249
long_002,0,1,32,63,0.06774867326021194
long_002,0,2,64,91,0.5473231673240662
long_002,1,0,0,31,0.44227153062820435
long_002,1,1,32,63,0.0646621584892273
long_002,1,2,64,92,0.49306637048721313
