sample_id,step,topk_rank,chunk_id,importance
local_001,0,1,2,0.5048222541809082
local_001,0,2,0,0.39840632677078247
local_001,1,1,0,0.4539128541946411
local_001,1,2,2,0.41436558961868286
local_002,0,1,0,0.41728928685188293
local_002,0,2,2,0.37598133087158203
local_002,1,1,0,0.46730315685272217
local_002,1,2,2,0.34621286392211914
long_001,0,1,2,0.4856122136116028
long_001,0,2,0,0.3785753846168518
long_001,1,1,0,0.41686832904815674
long_001,1,2,2,0.36819177865982056
long_002,0,1,2,0.5473231673240662
long_002,0,2,0,0.3849281966686249
long_002,1,1,2,0.49306637048721313
long_002,1,2,0,0.44227153062820435
