sample_id,step,topk_rank,chunk_id,importance
comparison_01,0,1,0,0.6019002199172974
comparison_01,0,2,13,0.16200928390026093
comparison_01,0,3,14,0.082387775182724
comparison_01,1,1,0,0.5966319441795349
comparison_01,1,2,13,0.14986935257911682
comparison_01,1,3,14,0.09118801355361938
comparison_01,2,1,0,0.5897409915924072
comparison_01,2,2,13,0.14081263542175293
comparison_01,2,3,14,0.11040641367435455
comparison_01,3,1,0,0.6052786707878113
comparison_01,3,2,13,0.13726739585399628
comparison_01,3,3,14,0.10850095748901367
