sample_id,step,sink_mass,recent_mass,cold_mass
local_01,0,0.5841987729072571,0.2932140827178955,0.12258707731962204
local_01,1,0.6167976260185242,0.2787361741065979,0.10446617007255554
local_01,2,0.6081920862197876,0.29417261481285095,0.09763540327548981
local_01,3,0.591396152973175,0.2973279058933258,0.11127599328756332
local_01,4,0.5904382467269897,0.2938685417175293,0.11569318175315857
local_01,5,0.5763116478919983,0.2800341546535492,0.14365418255329132
local_01,6,0.6029450297355652,0.2476896345615387,0.14936542510986328
local_01,7,0.5845646858215332,0.29506543278694153,0.1203697919845581
local_01,8,0.60724937915802,0.2893597483634949,0.10339092463254929
local_01,9,0.7051202058792114,0.20601600408554077,0.08886375278234482
local_01,10,0.5909402370452881,0.29644861817359924,0.11261123418807983
local_01,11,0.610546350479126,0.2721782922744751,0.11727538704872131
local_01,12,0.5948687195777893,0.29065072536468506,0.11448056995868683
local_01,13,0.5650444626808167,0.3301592767238617,0.1047961637377739
local_01,14,0.6579698324203491,0.260875940322876,0.08115427196025848
local_01,15,0.6351631879806519,0.27881383895874023,0.0860230028629303
local_02,0,0.5850773453712463,0.2923799157142639,0.12254279851913452
local_02,1,0.616845965385437,0.27652794122695923,0.10662604868412018
local_02,2,0.6008163690567017,0.29829782247543335,0.10088580846786499
local_02,3,0.5968325138092041,0.3034963607788086,0.09967116266489029
local_02,4,0.5997929573059082,0.29484525322914124,0.10536179691553116
local_02,5,0.6078800559043884,0.28581249713897705,0.10630742460489273
local_02,6,0.6014673709869385,0.2895961105823517,0.10893648862838745
local_02,7,0.6159905195236206,0.27986231446266174,0.10414719581604004
local_02,8,0.6462336182594299,0.2662695348262787,0.08749684691429138
local_02,9,0.6338405013084412,0.2765531837940216,0.08960641920566559
local_02,10,0.6234478950500488,0.264077365398407,0.11247476935386658
local_02,11,0.6150887608528137,0.22232060134410858,0.16259068250656128
local_02,12,0.6190693974494934,0.2758682370185852,0.1050623282790184
local_02,13,0.5832430720329285,0.3187216520309448,0.09803518652915955
local_02,14,0.5634064078330994,0.3319016098976135,0.1046920120716095
local_02,15,0.661409318447113,0.2584996819496155,0.0800909548997879
local_03,0,0.5817844271659851,0.29866716265678406,0.11954840272665024
local_03,1,0.6165176630020142,0.2834140658378601,0.1000683456659317
local_03,2,0.6053239107131958,0.297019362449646,0.09765668213367462
local_03,3,0.5856694579124451,0.30953851342201233,0.10479208081960678
local_03,4,0.5977983474731445,0.29695966839790344,0.10524202883243561
local_03,5,0.5743504166603088,0.29447126388549805,0.13117827475070953
local_03,6,0.6055019497871399,0.243793785572052,0.1507042646408081
local_03,7,0.5951323509216309,0.2778618633747101,0.12700580060482025
local_03,8,0.6454477310180664,0.2427164614200592,0.11183574050664902
local_03,9,0.6092708706855774,0.2525111436843872,0.1382180005311966
local_03,10,0.6286112666130066,0.27083900570869446,0.10054972767829895
local_03,11,0.6257571578025818,0.28426113724708557,0.08998168259859085
local_03,12,0.5753903388977051,0.3189087510108948,0.10570093244314194
local_03,13,0.6675832867622375,0.25499677658081055,0.07741989195346832
local_03,14,0.6382333040237427,0.2781529426574707,0.08361378312110901
local_03,15,0.623813807964325,0.27551746368408203,0.10066872090101242
local_04,0,0.5811216235160828,0.3022648096084595,0.11661352962255478
local_04,1,0.6185701489448547,0.2811107635498047,0.1003190129995346
local_04,2,0.6094182729721069,0.2973082661628723,0.09327355027198792
local_04,3,0.5926344990730286,0.3058894872665405,0.1014760285615921
local_04,4,0.599822461605072,0.2942424416542053,0.10593515634536743
local_04,5,0.6212887763977051,0.27742183208465576,0.10128933191299438
local_04,6,0.5812795162200928,0.2876732051372528,0.1310473382472992
local_04,7,0.6448432207107544,0.2516101598739624,0.1035466268658638
local_04,8,0.6862937211990356,0.19371666014194489,0.11998952180147171
local_04,9,0.6349961757659912,0.22013524174690247,0.14486843347549438
local_04,10,0.5784748792648315,0.2996685802936554,0.12185656279325485
local_04,11,0.5871629118919373,0.307431697845459,0.10540544986724854
local_04,12,0.5990995764732361,0.2889053225517273,0.11199504137039185
local_04,13,0.617617666721344,0.27240243554115295,0.10997986048460007
local_04,14,0.6367350816726685,0.2844884991645813,0.07877646386623383
local_04,15,0.6215132474899292,0.2803803086280823,0.09810637682676315
local_05,0,0.5853310227394104,0.28355252742767334,0.13111650943756104
local_05,1,0.6220617890357971,0.2724008560180664,0.1055373102426529
local_05,2,0.6105916500091553,0.2888091802597046,0.10059916228055954
local_05,3,0.5876461863517761,0.29451820254325867,0.11783553659915924
local_05,4,0.5931350588798523,0.27548325061798096,0.1313818097114563
local_05,5,0.5884227752685547,0.2627260386943817,0.14885130524635315
local_05,6,0.617447018623352,0.23169702291488647,0.15085583925247192
local_05,7,0.6412802338600159,0.2333434522151947,0.12537629902362823
local_05,8,0.5899907350540161,0.28533366322517395,0.1246756836771965
local_05,9,0.6109342575073242,0.2825159728527069,0.10654978454113007
local_05,10,0.5736107230186462,0.3078022003173828,0.11858709156513214
local_05,11,0.5971421003341675,0.2776624858379364,0.12519526481628418
local_05,12,0.6351575255393982,0.2410586178302765,0.12378376722335815
local_05,13,0.5963661074638367,0.2776232659816742,0.12601059675216675
local_05,14,0.5858334898948669,0.30250808596611023,0.1116584911942482
local_05,15,0.5698443055152893,0.3187244236469269,0.11143136024475098
local_06,0,0.5878030061721802,0.29611220955848694,0.1160847619175911
local_06,1,0.624640166759491,0.2749904692173004,0.10036934912204742
local_06,2,0.6105917692184448,0.2969142198562622,0.09249407052993774
local_06,3,0.6022703647613525,0.3027350604534149,0.09499458223581314
local_06,4,0.600267767906189,0.3073764443397522,0.09235580265522003
local_06,5,0.597402811050415,0.29193630814552307,0.11066087335348129
local_06,6,0.7321761846542358,0.17128759622573853,0.09653623402118683
local_06,7,0.6281492710113525,0.26528313755989075,0.1065676361322403
local_06,8,0.6158822774887085,0.2914419174194336,0.09267580509185791
local_06,9,0.6309087872505188,0.2818901538848877,0.08720115572214127
local_06,10,0.6304827332496643,0.27006155252456665,0.0994558334350586
local_06,11,0.6613956093788147,0.23554693162441254,0.10305745154619217
local_06,12,0.6069861650466919,0.2991810142993927,0.0938328355550766
local_06,13,0.5690356492996216,0.33277153968811035,0.09819283336400986
local_06,14,0.6648827791213989,0.2538392245769501,0.08127798140048981
local_06,15,0.6345711946487427,0.2783290147781372,0.0870998352766037
local_07,0,0.5772328972816467,0.3001115918159485,0.1226557046175003
local_07,1,0.6160219311714172,0.2825196087360382,0.10145847499370575
local_07,2,0.5988318920135498,0.30206558108329773,0.09910254180431366
local_07,3,0.5801369547843933,0.3059001564979553,0.11396296322345734
local_07,4,0.5823326706886292,0.29096394777297974,0.1267033964395523
local_07,5,0.5905019044876099,0.29393577575683594,0.11556226015090942
local_07,6,0.6058493256568909,0.2619410455226898,0.1322096288204193
local_07,7,0.5879133343696594,0.29546085000038147,0.11662590503692627
local_07,8,0.590173065662384,0.3020879626274109,0.10773901641368866
local_07,9,0.6079513430595398,0.2688031792640686,0.12324542552232742
local_07,10,0.6055125594139099,0.3001578152179718,0.09432969242334366
local_07,11,0.6208563446998596,0.29933804273605347,0.0798056423664093
local_07,12,0.6040187478065491,0.3079943060874939,0.08798693120479584
local_07,13,0.6284825801849365,0.2851575016975403,0.08635982871055603
local_07,14,0.6344232559204102,0.25906068086624146,0.1065160483121872
local_07,15,0.5800145268440247,0.3172343969345093,0.10275089740753174
local_08,0,0.5858272314071655,0.2855663299560547,0.1286064088344574
local_08,1,0.6199570298194885,0.2736433148384094,0.1063995212316513
local_08,2,0.603725790977478,0.2950689196586609,0.10120530426502228
local_08,3,0.5910997986793518,0.2955702245235443,0.11333008855581284
local_08,4,0.597285807132721,0.28096258640289307,0.1217515617609024
local_08,5,0.6060253381729126,0.2867332100868225,0.1072414293885231
local_08,6,0.5924960970878601,0.28761884570121765,0.11988511681556702
local_08,7,0.6101976037025452,0.2706252932548523,0.11917702108621597
local_08,8,0.6269373893737793,0.24165134131908417,0.1314113587141037
local_08,9,0.6247020959854126,0.2629437744617462,0.11235406994819641
local_08,10,0.6337670683860779,0.2808070182800293,0.08542589843273163
local_08,11,0.643805980682373,0.25806924700737,0.0981246680021286
local_08,12,0.6186051964759827,0.2723889946937561,0.10900575667619705
local_08,13,0.6099980473518372,0.2700332999229431,0.11996866762638092
local_08,14,0.6517457365989685,0.1966322809457779,0.15162205696105957
local_08,15,0.5888081192970276,0.29729825258255005,0.11389369517564774
local_09,0,0.58234703540802,0.2860967516899109,0.13155622780323029
local_09,1,0.6181542277336121,0.2751818001270294,0.10666399449110031
local_09,2,0.6073058247566223,0.2918921113014221,0.10080213844776154
local_09,3,0.5891053676605225,0.2981041669845581,0.11279059201478958
local_09,4,0.5981651544570923,0.2665696144104004,0.1352652907371521
local_09,5,0.5927874445915222,0.2650703489780426,0.1421421766281128
local_09,6,0.5881756544113159,0.2838345766067505,0.12798979878425598
local_09,7,0.589865505695343,0.27438390254974365,0.13575057685375214
local_09,8,0.6022035479545593,0.2566682994365692,0.14112818241119385
local_09,9,0.5882008075714111,0.30659037828445435,0.10520897060632706
local_09,10,0.5909871459007263,0.2764812707901001,0.13253164291381836
local_09,11,0.6186635494232178,0.2566743493080139,0.12466218322515488
local_09,12,0.6325086951255798,0.23559147119522095,0.13189978897571564
local_09,13,0.5751688480377197,0.3071826696395874,0.11764843761920929
local_09,14,0.5773839354515076,0.3263744115829468,0.0962415486574173
local_09,15,0.6558169722557068,0.2610109746456146,0.08317199349403381
local_10,0,0.5850167274475098,0.2935962677001953,0.12138690054416656
local_10,1,0.6088370680809021,0.28563791513442993,0.10552503168582916
local_10,2,0.6009547114372253,0.2944234013557434,0.1046217530965805
local_10,3,0.6059923768043518,0.2969285249710083,0.09707913547754288
local_10,4,0.6051315069198608,0.28893131017684937,0.10593725740909576
local_10,5,0.6223986148834229,0.27219825983047485,0.1054031103849411
local_10,6,0.6818966269493103,0.21981535851955414,0.09828798472881317
local_10,7,0.60335373878479,0.26925456523895264,0.12739166617393494
local_10,8,0.6275886297225952,0.25373023748397827,0.11868101358413696
local_10,9,0.572175145149231,0.3145335912704468,0.11329127103090286
local_10,10,0.572257399559021,0.3205265998840332,0.10721592605113983
local_10,11,0.6561396718025208,0.26209500432014465,0.08176536858081818
local_10,12,0.6290764212608337,0.28355279564857483,0.08737080544233322
local_10,13,0.615774393081665,0.27918148040771484,0.10504421591758728
local_10,14,0.6957109570503235,0.1985843926668167,0.10570462048053741
local_10,15,0.6133496165275574,0.2586713433265686,0.12797901034355164
early_recall_01,0,0.5716052055358887,0.25739729404449463,0.17099756002426147
early_recall_01,1,0.5678402781486511,0.2538372874259949,0.17832233011722565
early_recall_01,2,0.5821842551231384,0.2368062436580658,0.18100959062576294
early_recall_01,3,0.604633092880249,0.2291041612625122,0.166262686252594
early_recall_01,4,0.6361992955207825,0.21550190448760986,0.14829875528812408
early_recall_01,5,0.5612208247184753,0.2694394588470459,0.16933977603912354
early_recall_01,6,0.5694868564605713,0.2596017122268677,0.17091132700443268
early_recall_01,7,0.6467235088348389,0.20107236504554749,0.15220406651496887
early_recall_01,8,0.7229026556015015,0.1515977382659912,0.12549954652786255
early_recall_01,9,0.6542673707008362,0.19314619898796082,0.15258626639842987
early_recall_01,10,0.6188956499099731,0.22594335675239563,0.1551610231399536
early_recall_01,11,0.6350007653236389,0.21744036674499512,0.14755886793136597
early_recall_01,12,0.5663297772407532,0.2759793996810913,0.15769079327583313
early_recall_01,13,0.5571479201316833,0.2899458110332489,0.1529061496257782
early_recall_01,14,0.6019498109817505,0.28994685411453247,0.10810332000255585
early_recall_01,15,0.6214441061019897,0.28026440739631653,0.09829143434762955
early_recall_02,0,0.5752679705619812,0.25943565368652344,0.16529643535614014
early_recall_02,1,0.5689668655395508,0.2568548321723938,0.17417840659618378
early_recall_02,2,0.5848396420478821,0.24097833037376404,0.1741819977760315
early_recall_02,3,0.600211501121521,0.23580116033554077,0.163987398147583
early_recall_02,4,0.6125011444091797,0.227017343044281,0.1604815125465393
early_recall_02,5,0.5555625557899475,0.2756481468677521,0.16878938674926758
early_recall_02,6,0.5719966292381287,0.2571108341217041,0.17089244723320007
early_recall_02,7,0.6440526247024536,0.20167550444602966,0.1542719602584839
early_recall_02,8,0.7007744908332825,0.15577059984207153,0.14345476031303406
early_recall_02,9,0.6473931670188904,0.19398072361946106,0.15862606465816498
early_recall_02,10,0.6081719398498535,0.23057739436626434,0.1612507402896881
early_recall_02,11,0.6394670009613037,0.22161182761192322,0.13892117142677307
early_recall_02,12,0.5630182027816772,0.2820223271846771,0.15495939552783966
early_recall_02,13,0.5633692145347595,0.29369473457336426,0.14293599128723145
early_recall_02,14,0.6051193475723267,0.2899513244628906,0.10492923110723495
early_recall_02,15,0.6200268268585205,0.2797340750694275,0.10023897886276245
early_recall_03,0,0.5700783729553223,0.25665757060050964,0.17326414585113525
early_recall_03,1,0.5661854147911072,0.19903936982154846,0.23477521538734436
early_recall_03,2,0.5582467913627625,0.20957094430923462,0.23218223452568054
early_recall_03,3,0.6496880650520325,0.19268867373466492,0.15762323141098022
early_recall_03,4,0.5459035038948059,0.21306657791137695,0.24102993309497833
early_recall_03,5,0.58487868309021,0.18613313138484955,0.2289881706237793
early_recall_03,6,0.6153126955032349,0.18484267592430115,0.1998445987701416
early_recall_03,7,0.5957583785057068,0.2022017389535904,0.20203988254070282
early_recall_03,8,0.5809008479118347,0.2177695333957672,0.20132973790168762
early_recall_03,9,0.5823641419410706,0.21067726612091064,0.2069586217403412
early_recall_03,10,0.6361733675003052,0.22412371635437012,0.13970300555229187
early_recall_03,11,0.5842404961585999,0.204790860414505,0.21096865832805634
early_recall_03,12,0.6014605164527893,0.20242440700531006,0.19611506164073944
early_recall_03,13,0.6115002632141113,0.20578309893608093,0.18271657824516296
early_recall_03,14,0.5782878398895264,0.2534709572792053,0.16824126243591309
early_recall_03,15,0.5519255995750427,0.2873106598854065,0.16076377034187317
early_recall_04,0,0.5746468305587769,0.24899491667747498,0.176358163356781
early_recall_04,1,0.577053427696228,0.1930677890777588,0.22987864911556244
early_recall_04,2,0.5643556714057922,0.2027110606431961,0.2329333871603012
early_recall_04,3,0.6343516111373901,0.203675776720047,0.16197256743907928
early_recall_04,4,0.5537969470024109,0.20284174382686615,0.24336124956607819
early_recall_04,5,0.5900104641914368,0.18081708252429962,0.2291724979877472
early_recall_04,6,0.6164640784263611,0.184644877910614,0.1988910585641861
early_recall_04,7,0.5975736975669861,0.1995055079460144,0.20292086899280548
early_recall_04,8,0.585362434387207,0.21141880750656128,0.20321881771087646
early_recall_04,9,0.5920771956443787,0.20044204592704773,0.207480788230896
early_recall_04,10,0.6394443511962891,0.21410459280014038,0.14645108580589294
early_recall_04,11,0.5879608392715454,0.19818945229053497,0.21384978294372559
early_recall_04,12,0.6076058745384216,0.1943787932395935,0.19801539182662964
