sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.6034663319587708
local_01,0,1,64,127,0.015331543982028961
local_01,0,2,128,191,0.013254567980766296
local_01,0,3,192,255,0.014560292474925518
local_01,0,4,256,319,0.006641013082116842
local_01,0,5,320,383,0.014777563512325287
local_01,0,6,384,447,0.006372953299432993
local_01,0,7,448,511,0.004461803939193487
local_01,0,8,512,575,0.006054490339010954
local_01,0,9,576,639,0.005736189894378185
local_01,0,10,640,703,0.005976832006126642
local_01,0,11,704,767,0.010332592763006687
local_01,0,12,768,831,0.01799580454826355
local_01,0,13,832,894,0.27503806352615356
local_01,1,0,0,63,0.6310760974884033
local_01,1,1,64,127,0.01439795270562172
local_01,1,2,128,191,0.0112870829179883
local_01,1,3,192,255,0.011019664816558361
local_01,1,4,256,319,0.00610042829066515
local_01,1,5,320,383,0.011967737227678299
local_01,1,6,384,447,0.005987843498587608
local_01,1,7,448,511,0.004368746653199196
local_01,1,8,512,575,0.00535842077806592
local_01,1,9,576,639,0.005817233584821224
local_01,1,10,640,703,0.0057772742584347725
local_01,1,11,704,767,0.008105367422103882
local_01,1,12,768,831,0.016433829441666603
local_01,1,13,832,895,0.26230233907699585
local_01,2,0,0,63,0.6211137771606445
local_01,2,1,64,127,0.013238117098808289
local_01,2,2,128,191,0.01060163602232933
local_01,2,3,192,255,0.009785942733287811
local_01,2,4,256,319,0.005959606263786554
local_01,2,5,320,383,0.013003978878259659
local_01,2,6,384,447,0.005462856497615576
local_01,2,7,448,511,0.004150477237999439
local_01,2,8,512,575,0.004918874707072973
local_01,2,9,576,639,0.0051877256482839584
local_01,2,10,640,703,0.005358818918466568
local_01,2,11,704,767,0.006924303248524666
local_01,2,12,768,831,0.014710649847984314
local_01,2,13,832,895,0.25016188621520996
local_01,2,14,896,896,0.029421400278806686
local_01,3,0,0,63,0.6056315302848816
local_01,3,1,64,127,0.01784329116344452
local_01,3,2,128,191,0.011460683308541775
local_01,3,3,192,255,0.012325535528361797
local_01,3,4,256,319,0.007566750515252352
local_01,3,5,320,383,0.012997064739465714
local_01,3,6,384,447,0.006706496234983206
local_01,3,7,448,511,0.004464952275156975
local_01,3,8,512,575,0.005025956779718399
local_01,3,9,576,639,0.00535424891859293
local_01,3,10,640,703,0.005747748538851738
local_01,3,11,704,767,0.007330402731895447
local_01,3,12,768,831,0.017219381406903267
local_01,3,13,832,895,0.2293378710746765
local_01,3,14,896,897,0.050988078117370605
local_01,4,0,0,63,0.6029342412948608
local_01,4,1,64,127,0.020707592368125916
local_01,4,2,128,191,0.012378737330436707
local_01,4,3,192,255,0.010452302172780037
local_01,4,4,256,319,0.008659055456519127
local_01,4,5,320,383,0.012788807973265648
local_01,4,6,384,447,0.006189076695591211
local_01,4,7,448,511,0.004994734190404415
local_01,4,8,512,575,0.005540942307561636
local_01,4,9,576,639,0.005542183760553598
local_01,4,10,640,703,0.006660561077296734
local_01,4,11,704,767,0.008833608590066433
local_01,4,12,768,831,0.017236821353435516
local_01,4,13,832,895,0.21220886707305908
local_01,4,14,896,898,0.06487242877483368
local_01,5,0,0,63,0.5941752791404724
local_01,5,1,64,127,0.023193057626485825
local_01,5,2,128,191,0.017548443749547005
local_01,5,3,192,255,0.014991959556937218
local_01,5,4,256,319,0.011382311582565308
local_01,5,5,320,383,0.014759755693376064
local_01,5,6,384,447,0.007106310687959194
local_01,5,7,448,511,0.005892228800803423
local_01,5,8,512,575,0.006265024654567242
local_01,5,9,576,639,0.005996841471642256
local_01,5,10,640,703,0.008826873265206814
local_01,5,11,704,767,0.009212182834744453
local_01,5,12,768,831,0.015486368909478188
local_01,5,13,832,895,0.191308856010437
local_01,5,14,896,899,0.0738544762134552
local_01,6,0,0,63,0.6234058737754822
local_01,6,1,64,127,0.021904408931732178
local_01,6,2,128,191,0.021986376494169235
local_01,6,3,192,255,0.012613310478627682
local_01,6,4,256,319,0.010671010240912437
local_01,6,5,320,383,0.014887098222970963
local_01,6,6,384,447,0.00734312180429697
local_01,6,7,448,511,0.006730701774358749
local_01,6,8,512,575,0.00718812458217144
local_01,6,9,576,639,0.006178221665322781
local_01,6,10,640,703,0.009358257055282593
local_01,6,11,704,767,0.00930113811045885
local_01,6,12,768,831,0.01382299605756998
local_01,6,13,832,895,0.14012135565280914
local_01,6,14,896,900,0.09448804706335068
local_01,7,0,0,63,0.5976932048797607
local_01,7,1,64,127,0.020105889067053795
local_01,7,2,128,191,0.013652535155415535
local_01,7,3,192,255,0.010601421818137169
local_01,7,4,256,319,0.009761756286025047
local_01,7,5,320,383,0.01346698310226202
local_01,7,6,384,447,0.006023966707289219
local_01,7,7,448,511,0.0056453607976436615
local_01,7,8,512,575,0.005712835118174553
local_01,7,9,576,639,0.005767454393208027
local_01,7,10,640,703,0.007716876920312643
local_01,7,11,704,767,0.007933571003377438
local_01,7,12,768,831,0.013701802119612694
local_01,7,13,832,895,0.15754657983779907
local_01,7,14,896,901,0.12466971576213837
local_01,8,0,0,63,0.6170557141304016
local_01,8,1,64,127,0.013650845736265182
local_01,8,2,128,191,0.012998834252357483
local_01,8,3,192,255,0.008769169449806213
local_01,8,4,256,319,0.006775082089006901
local_01,8,5,320,383,0.013020900078117847
local_01,8,6,384,447,0.006469793152064085
local_01,8,7,448,511,0.004316579084843397
local_01,8,8,512,575,0.005999593064188957
local_01,8,9,576,639,0.005972406826913357
local_01,8,10,640,703,0.00580635666847229
local_01,8,11,704,767,0.008472345769405365
local_01,8,12,768,831,0.01470743864774704
local_01,8,13,832,895,0.16456986963748932
local_01,8,14,896,902,0.11141520738601685
local_01,9,0,0,63,0.7131975889205933
local_01,9,1,64,127,0.011629946529865265
local_01,9,2,128,191,0.01002134382724762
local_01,9,3,192,255,0.00732784066349268
local_01,9,4,256,319,0.006089662201702595
local_01,9,5,320,383,0.009410683065652847
local_01,9,6,384,447,0.005226881708949804
local_01,9,7,448,511,0.004597454331815243
local_01,9,8,512,575,0.0055060917511582375
local_01,9,9,576,639,0.005984288640320301
local_01,9,10,640,703,0.006190214306116104
local_01,9,11,704,767,0.007489226292818785
local_01,9,12,768,831,0.012702109292149544
local_01,9,13,832,895,0.10091636329889297
local_01,9,14,896,903,0.0937102735042572
local_01,10,0,0,63,0.6015760898590088
local_01,10,1,64,127,0.015088741667568684
local_01,10,2,128,191,0.013750799931585789
local_01,10,3,192,255,0.011094196699559689
local_01,10,4,256,319,0.009320419281721115
local_01,10,5,320,383,0.013336878269910812
local_01,10,6,384,447,0.006375120021402836
local_01,10,7,448,511,0.004829306621104479
local_01,10,8,512,575,0.0056716385297477245
local_01,10,9,576,639,0.006005630828440189
local_01,10,10,640,703,0.006411091890186071
local_01,10,11,704,767,0.008346302434802055
local_01,10,12,768,831,0.014666636474430561
local_01,10,13,832,895,0.1558428555727005
local_01,10,14,896,904,0.12768447399139404
local_01,11,0,0,63,0.6231595277786255
local_01,11,1,64,127,0.01611325889825821
local_01,11,2,128,191,0.014372261241078377
local_01,11,3,192,255,0.01293774601072073
local_01,11,4,256,319,0.00843224860727787
local_01,11,5,320,383,0.013219880871474743
local_01,11,6,384,447,0.006498171016573906
local_01,11,7,448,511,0.004645969718694687
local_01,11,8,512,575,0.00591244176030159
local_01,11,9,576,639,0.006026589311659336
local_01,11,10,640,703,0.006425235420465469
local_01,11,11,704,767,0.008521517738699913
local_01,11,12,768,831,0.0140494704246521
local_01,11,13,832,895,0.14234775304794312
local_01,11,14,896,905,0.11733800172805786
local_01,12,0,0,63,0.6089999675750732
local_01,12,1,64,127,0.017490454018115997
local_01,12,2,128,191,0.012347282841801643
local_01,12,3,192,255,0.01179171446710825
local_01,12,4,256,319,0.00781346671283245
local_01,12,5,320,383,0.012995878234505653
local_01,12,6,384,447,0.006329783238470554
local_01,12,7,448,511,0.004801751114428043
local_01,12,8,512,575,0.005221295636147261
local_01,12,9,576,639,0.00616740807890892
local_01,12,10,640,703,0.006197264418005943
local_01,12,11,704,767,0.007524802349507809
local_01,12,12,768,831,0.01681777462363243
local_01,12,13,832,895,0.14635944366455078
local_01,12,14,896,906,0.12914179265499115
local_01,13,0,0,63,0.5840733647346497
local_01,13,1,64,127,0.015412073582410812
local_01,13,2,128,191,0.010300248861312866
local_01,13,3,192,255,0.010851015336811543
local_01,13,4,256,319,0.006082897540181875
local_01,13,5,320,383,0.010748665779829025
local_01,13,6,384,447,0.005709086544811726
local_01,13,7,448,511,0.0039741783402860165
local_01,13,8,512,575,0.004358379170298576
local_01,13,9,576,639,0.005662697367370129
local_01,13,10,640,703,0.004962623119354248
local_01,13,11,704,767,0.006114599760621786
local_01,13,12,768,831,0.017554491758346558
local_01,13,13,832,895,0.20938518643379211
local_01,13,14,896,907,0.10481038689613342
local_01,14,0,0,63,0.669248640537262
local_01,14,1,64,127,0.010152317583560944
local_01,14,2,128,191,0.0064822169952094555
local_01,14,3,192,255,0.007316411007195711
local_01,14,4,256,319,0.005456904880702496
local_01,14,5,320,383,0.008660891093313694
local_01,14,6,384,447,0.00511219073086977
local_01,14,7,448,511,0.004235218279063702
local_01,14,8,512,575,0.004195463843643665
local_01,14,9,576,639,0.005899690091609955
local_01,14,10,640,703,0.0047197481617331505
local_01,14,11,704,767,0.006091319024562836
local_01,14,12,768,831,0.013650959357619286
local_01,14,13,832,895,0.16151496767997742
