sample_id,allocated_bytes_after_cleanup,reserved_bytes_after_cleanup,peak_allocated_bytes,peak_reserved_bytes
local_01,13485351936,13499367424,14191712768,14294188032
local_02,13485351936,13499367424,14191367680,14294188032
local_03,13485351936,13499367424,14191367680,14294188032
local_04,13485351936,13499367424,14173533696,14264827904
local_05,13485351936,13499367424,14191367680,14294188032
local_06,13485351936,13499367424,14188279808,14294188032
local_07,13485351936,13499367424,14191540736,14294188032
local_08,13485351936,13499367424,14191540736,14294188032
local_09,13485351936,13499367424,14191712768,14294188032
local_10,13485351936,13499367424,14188909568,14294188032
early_recall_01,13485351936,13499367424,14173936128,14264827904
early_recall_02,13485351936,13499367424,14173936128,14264827904
early_recall_03,13485351936,13499367424,14178800640,14327742464
early_recall_04,13485351936,13499367424,14173936128,14264827904
early_recall_05,13485351936,13499367424,14173533696,14264827904
early_recall_06,13485351936,13499367424,14173132288,14264827904
early_recall_07,13485351936,13499367424,14176574464,14327742464
early_recall_08,13485351936,13499367424,14173132288,14264827904
early_recall_09,13485351936,13499367424,14173936128,14264827904
early_recall_10,13485351936,13499367424,14176574464,14327742464
middle_recall_01,13485351936,13499367424,14165009920,14296285184
middle_recall_02,13485351936,13499367424,14165009920,14296285184
middle_recall_03,13485351936,13499367424,14165009920,14296285184
middle_recall_04,13485351936,13499367424,14165009920,14296285184
middle_recall_05,13485351936,13499367424,14164493824,14296285184
middle_recall_06,13485351936,13499367424,14163460608,14296285184
middle_recall_07,13485351936,13499367424,14163976704,14296285184
middle_recall_08,13485351936,13499367424,14163460608,14296285184
middle_recall_09,13485351936,13499367424,14165009920,14296285184
middle_recall_10,13485351936,13499367424,14165009920,14296285184
comparison_01,13485351936,13499367424,14203897856,14258536448
comparison_02,13485351936,13499367424,14203897856,14258536448
comparison_03,13485351936,13499367424,14203232768,14258536448
comparison_04,13485351936,13499367424,14203566080,14258536448
comparison_05,13485351936,13499367424,14203897856,14258536448
comparison_06,13485351936,13499367424,14203897856,14258536448
comparison_07,13485351936,13499367424,14203566080,14258536448
comparison_08,13485351936,13499367424,14203897856,14258536448
comparison_09,13485351936,13499367424,14203897856,14258536448
comparison_10,13485351936,13499367424,14203897856,14258536448
