subtype,chunk_id,topk_count,subtype_topk_rows,frequency,mean_importance
local,0,160,480,0.3333333333333333,0.6254696626216173
local,13,160,480,0.3333333333333333,0.1949425313621759
local,14,111,480,0.23125,0.08897206150330934
local,12,49,480,0.10208333333333333,0.036825758709135056
early_recall,0,160,480,0.3333333333333333,0.6475596684962511
early_recall,13,160,480,0.3333333333333333,0.2146439290605485
early_recall,1,123,480,0.25625,0.02456834521598928
early_recall,12,22,480,0.04583333333333333,0.02453805057501247
early_recall,4,8,480,0.016666666666666666,0.0337295078206807
early_recall,3,7,480,0.014583333333333334,0.036560060190302945
middle_recall,0,160,480,0.3333333333333333,0.6430526010692119
middle_recall,13,160,480,0.3333333333333333,0.20683976914733643
middle_recall,6,93,480,0.19375,0.050421820893402976
middle_recall,12,65,480,0.13541666666666666,0.018205610146889272
middle_recall,1,2,480,0.004166666666666667,0.014893088489770851
comparison,0,160,480,0.3333333333333333,0.6169868793338538
comparison,13,160,480,0.3333333333333333,0.11016339433845128
comparison,14,160,480,0.3333333333333333,0.1309845762327313
