sample_id,step,sink_mass,recent_mass,cold_mass
local_01,0,0.5841987729072571,0.2932140827178955,0.12258707731962204
local_01,1,0.6167976260185242,0.2787361741065979,0.10446617007255554
local_01,2,0.6081920862197876,0.29417261481285095,0.09763540327548981
local_01,3,0.591396152973175,0.2973279058933258,0.11127599328756332
early_recall_01,0,0.5716052055358887,0.25739729404449463,0.17099756002426147
early_recall_01,1,0.5678402781486511,0.2538372874259949,0.17832233011722565
early_recall_01,2,0.5821842551231384,0.2368062436580658,0.18100959062576294
early_recall_01,3,0.604633092880249,0.2291041612625122,0.166262686252594
middle_recall_01,0,0.5854754447937012,0.24062897264957428,0.1738954782485962
middle_recall_01,1,0.5961222648620605,0.22937272489070892,0.17450504004955292
middle_recall_01,2,0.5539347529411316,0.2650020718574524,0.18106302618980408
middle_recall_01,3,0.5721628665924072,0.2646214962005615,0.16321566700935364
comparison_01,0,0.5736424922943115,0.25423702597618103,0.17212051153182983
comparison_01,1,0.564838171005249,0.2500358521938324,0.18512597680091858
comparison_01,2,0.5550073385238647,0.259949654340744,0.1850430965423584
comparison_01,3,0.5770059823989868,0.2541884481906891,0.16880559921264648
