sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.6034663319587708
local_01,0,1,64,127,0.015331543982028961
local_01,0,2,128,191,0.013254567980766296
local_01,0,3,192,255,0.014560292474925518
local_01,0,4,256,319,0.006641013082116842
local_01,0,5,320,383,0.014777563512325287
local_01,0,6,384,447,0.006372953299432993
local_01,0,7,448,511,0.004461803939193487
local_01,0,8,512,575,0.006054490339010954
local_01,0,9,576,639,0.005736189894378185
local_01,0,10,640,703,0.005976832006126642
local_01,0,11,704,767,0.010332592763006687
local_01,0,12,768,831,0.01799580454826355
local_01,0,13,832,894,0.27503806352615356
local_01,1,0,0,63,0.6310760974884033
local_01,1,1,64,127,0.01439795270562172
local_01,1,2,128,191,0.0112870829179883
local_01,1,3,192,255,0.011019664816558361
local_01,1,4,256,319,0.00610042829066515
local_01,1,5,320,383,0.011967737227678299
local_01,1,6,384,447,0.005987843498587608
local_01,1,7,448,511,0.004368746653199196
local_01,1,8,512,575,0.00535842077806592
local_01,1,9,576,639,0.005817233584821224
local_01,1,10,640,703,0.0057772742584347725
local_01,1,11,704,767,0.008105367422103882
local_01,1,12,768,831,0.016433829441666603
local_01,1,13,832,895,0.26230233907699585
local_01,2,0,0,63,0.6211137771606445
local_01,2,1,64,127,0.013238117098808289
local_01,2,2,128,191,0.01060163602232933
local_01,2,3,192,255,0.009785942733287811
local_01,2,4,256,319,0.005959606263786554
local_01,2,5,320,383,0.013003978878259659
local_01,2,6,384,447,0.005462856497615576
local_01,2,7,448,511,0.004150477237999439
local_01,2,8,512,575,0.004918874707072973
local_01,2,9,576,639,0.0051877256482839584
local_01,2,10,640,703,0.005358818918466568
local_01,2,11,704,767,0.006924303248524666
local_01,2,12,768,831,0.014710649847984314
local_01,2,13,832,895,0.25016188621520996
local_01,2,14,896,896,0.029421400278806686
local_01,3,0,0,63,0.6056315302848816
local_01,3,1,64,127,0.01784329116344452
local_01,3,2,128,191,0.011460683308541775
local_01,3,3,192,255,0.012325535528361797
local_01,3,4,256,319,0.007566750515252352
local_01,3,5,320,383,0.012997064739465714
local_01,3,6,384,447,0.006706496234983206
local_01,3,7,448,511,0.004464952275156975
local_01,3,8,512,575,0.005025956779718399
local_01,3,9,576,639,0.00535424891859293
local_01,3,10,640,703,0.005747748538851738
local_01,3,11,704,767,0.007330402731895447
local_01,3,12,768,831,0.017219381406903267
local_01,3,13,832,895,0.2293378710746765
local_01,3,14,896,897,0.050988078117370605
early_recall_01,0,0,0,63,0.6151548624038696
early_recall_01,0,1,64,127,0.02518448606133461
early_recall_01,0,2,128,191,0.014287129044532776
early_recall_01,0,3,192,255,0.013644515536725521
early_recall_01,0,4,256,319,0.011703130789101124
early_recall_01,0,5,320,383,0.014613445848226547
early_recall_01,0,6,384,447,0.008579175919294357
early_recall_01,0,7,448,511,0.007541850674897432
early_recall_01,0,8,512,575,0.007781052961945534
early_recall_01,0,9,576,639,0.005999595392495394
early_recall_01,0,10,640,703,0.010492375120520592
early_recall_01,0,11,704,767,0.009932809509336948
early_recall_01,0,12,768,831,0.027424441650509834
early_recall_01,0,13,832,877,0.22766117751598358
early_recall_01,1,0,0,63,0.6169775128364563
early_recall_01,1,1,64,127,0.027346599847078323
early_recall_01,1,2,128,191,0.014242267236113548
early_recall_01,1,3,192,255,0.013886520639061928
early_recall_01,1,4,256,319,0.013383915647864342
early_recall_01,1,5,320,383,0.013685699552297592
early_recall_01,1,6,384,447,0.007887536659836769
early_recall_01,1,7,448,511,0.007921629585325718
early_recall_01,1,8,512,575,0.007001146674156189
early_recall_01,1,9,576,639,0.006165182683616877
early_recall_01,1,10,640,703,0.010747388005256653
early_recall_01,1,11,704,767,0.009066794067621231
early_recall_01,1,12,768,831,0.019301563501358032
early_recall_01,1,13,832,878,0.23238615691661835
early_recall_01,2,0,0,63,0.6394000053405762
early_recall_01,2,1,64,127,0.02653486095368862
early_recall_01,2,2,128,191,0.013856204226613045
early_recall_01,2,3,192,255,0.013377179391682148
early_recall_01,2,4,256,319,0.013078983873128891
early_recall_01,2,5,320,383,0.01337849535048008
early_recall_01,2,6,384,447,0.007489094510674477
early_recall_01,2,7,448,511,0.007565706968307495
early_recall_01,2,8,512,575,0.006490756291896105
early_recall_01,2,9,576,639,0.005437165964394808
early_recall_01,2,10,640,703,0.009759349748492241
early_recall_01,2,11,704,767,0.008669027127325535
early_recall_01,2,12,768,831,0.01683599315583706
early_recall_01,2,13,832,879,0.2181272953748703
early_recall_01,3,0,0,63,0.6537319421768188
early_recall_01,3,1,64,127,0.025775039568543434
early_recall_01,3,2,128,191,0.013576418161392212
early_recall_01,3,3,192,255,0.010944074019789696
early_recall_01,3,4,256,319,0.011787920258939266
early_recall_01,3,5,320,383,0.012350162491202354
early_recall_01,3,6,384,447,0.007085204124450684
early_recall_01,3,7,448,511,0.007234550081193447
early_recall_01,3,8,512,575,0.006351805292069912
early_recall_01,3,9,576,639,0.0053685130551457405
early_recall_01,3,10,640,703,0.009483369998633862
early_recall_01,3,11,704,767,0.00900861993432045
early_recall_01,3,12,768,831,0.016632776707410812
early_recall_01,3,13,832,880,0.21066956222057343
middle_recall_01,0,0,0,63,0.6043688654899597
middle_recall_01,0,1,64,127,0.013693142682313919
middle_recall_01,0,2,128,191,0.014761594124138355
middle_recall_01,0,3,192,255,0.009962515905499458
middle_recall_01,0,4,256,319,0.010879846289753914
middle_recall_01,0,5,320,383,0.009626833721995354
middle_recall_01,0,6,384,447,0.050075337290763855
middle_recall_01,0,7,448,511,0.013770576566457748
middle_recall_01,0,8,512,575,0.010182397440075874
middle_recall_01,0,9,576,639,0.008504735305905342
middle_recall_01,0,10,640,703,0.008666709996759892
middle_recall_01,0,11,704,767,0.0132009107619524
middle_recall_01,0,12,768,831,0.025301281362771988
middle_recall_01,0,13,832,868,0.20700514316558838
middle_recall_01,1,0,0,63,0.6130686402320862
middle_recall_01,1,1,64,127,0.014385407790541649
middle_recall_01,1,2,128,191,0.011656071059405804
middle_recall_01,1,3,192,255,0.012202534824609756
middle_recall_01,1,4,256,319,0.010591858066618443
middle_recall_01,1,5,320,383,0.009519348852336407
middle_recall_01,1,6,384,447,0.04589321091771126
middle_recall_01,1,7,448,511,0.01387428492307663
middle_recall_01,1,8,512,575,0.015721049159765244
middle_recall_01,1,9,576,639,0.009906681254506111
middle_recall_01,1,10,640,703,0.008537841029465199
middle_recall_01,1,11,704,767,0.01401529274880886
middle_recall_01,1,12,768,831,0.01989344321191311
middle_recall_01,1,13,832,869,0.20073436200618744
middle_recall_01,2,0,0,63,0.5715947151184082
middle_recall_01,2,1,64,127,0.01181121077388525
middle_recall_01,2,2,128,191,0.011522471904754639
middle_recall_01,2,3,192,255,0.00984171312302351
middle_recall_01,2,4,256,319,0.010172356851398945
middle_recall_01,2,5,320,383,0.01050170511007309
middle_recall_01,2,6,384,447,0.058965615928173065
middle_recall_01,2,7,448,511,0.015384879894554615
middle_recall_01,2,8,512,575,0.011886337772011757
middle_recall_01,2,9,576,639,0.009603261016309261
middle_recall_01,2,10,640,703,0.00865963939577341
middle_recall_01,2,11,704,767,0.0146983927115798
middle_recall_01,2,12,768,831,0.020339563488960266
middle_recall_01,2,13,832,870,0.23501798510551453
middle_recall_01,3,0,0,63,0.592392086982727
middle_recall_01,3,1,64,127,0.010201884433627129
middle_recall_01,3,2,128,191,0.011936387047171593
middle_recall_01,3,3,192,255,0.008050994947552681
middle_recall_01,3,4,256,319,0.010225306265056133
middle_recall_01,3,5,320,383,0.010478914715349674
middle_recall_01,3,6,384,447,0.048768579959869385
middle_recall_01,3,7,448,511,0.015100765973329544
middle_recall_01,3,8,512,575,0.008487005718052387
middle_recall_01,3,9,576,639,0.007083994336426258
middle_recall_01,3,10,640,703,0.007840394042432308
middle_recall_01,3,11,704,767,0.012963430024683475
middle_recall_01,3,12,768,831,0.02152419090270996
middle_recall_01,3,13,832,871,0.23494604229927063
comparison_01,0,0,0,63,0.6019002199172974
comparison_01,0,1,64,127,0.020090611651539803
comparison_01,0,2,128,191,0.014706144109368324
comparison_01,0,3,192,255,0.017268052324652672
comparison_01,0,4,256,319,0.011650877073407173
comparison_01,0,5,320,383,0.006374696269631386
comparison_01,0,6,384,447,0.028467252850532532
comparison_01,0,7,448,511,0.013495154678821564
comparison_01,0,8,512,575,0.00600089319050312
comparison_01,0,9,576,639,0.007673359476029873
comparison_01,0,10,640,703,0.00673060305416584
comparison_01,0,11,704,767,0.010801732540130615
comparison_01,0,12,768,831,0.010443422943353653
comparison_01,0,13,832,895,0.16200928390026093
comparison_01,0,14,896,900,0.082387775182724
comparison_01,1,0,0,63,0.5966319441795349
comparison_01,1,1,64,127,0.018361501395702362
comparison_01,1,2,128,191,0.013036844320595264
comparison_01,1,3,192,255,0.01741883158683777
comparison_01,1,4,256,319,0.010826691053807735
comparison_01,1,5,320,383,0.006092398427426815
comparison_01,1,6,384,447,0.04140271246433258
comparison_01,1,7,448,511,0.012993878684937954
comparison_01,1,8,512,575,0.006681870669126511
comparison_01,1,9,576,639,0.008054444566369057
comparison_01,1,10,640,703,0.006335309706628323
comparison_01,1,11,704,767,0.01141398586332798
comparison_01,1,12,768,831,0.009692369028925896
comparison_01,1,13,832,895,0.14986935257911682
comparison_01,1,14,896,901,0.09118801355361938
comparison_01,2,0,0,63,0.5897409915924072
