sample_id,step,topk_rank,chunk_id,importance
local_01,0,1,0,0.6034663319587708
local_01,0,2,13,0.27503806352615356
local_01,0,3,12,0.01799580454826355
local_01,1,1,0,0.6310760974884033
local_01,1,2,13,0.26230233907699585
local_01,1,3,12,0.016433829441666603
local_01,2,1,0,0.6211137771606445
local_01,2,2,13,0.25016188621520996
local_01,2,3,14,0.029421400278806686
local_01,3,1,0,0.6056315302848816
local_01,3,2,13,0.2293378710746765
local_01,3,3,14,0.050988078117370605
early_recall_01,0,1,0,0.6151548624038696
early_recall_01,0,2,13,0.22766117751598358
early_recall_01,0,3,12,0.027424441650509834
early_recall_01,1,1,0,0.6169775128364563
early_recall_01,1,2,13,0.23238615691661835
early_recall_01,1,3,1,0.027346599847078323
early_recall_01,2,1,0,0.6394000053405762
early_recall_01,2,2,13,0.2181272953748703
early_recall_01,2,3,1,0.02653486095368862
early_recall_01,3,1,0,0.6537319421768188
early_recall_01,3,2,13,0.21066956222057343
early_recall_01,3,3,1,0.025775039568543434
middle_recall_01,0,1,0,0.6043688654899597
middle_recall_01,0,2,13,0.20700514316558838
middle_recall_01,0,3,6,0.050075337290763855
middle_recall_01,1,1,0,0.6130686402320862
middle_recall_01,1,2,13,0.20073436200618744
middle_recall_01,1,3,6,0.04589321091771126
middle_recall_01,2,1,0,0.5715947151184082
middle_recall_01,2,2,13,0.23501798510551453
middle_recall_01,2,3,6,0.058965615928173065
middle_recall_01,3,1,0,0.592392086982727
middle_recall_01,3,2,13,0.23494604229927063
middle_recall_01,3,3,6,0.048768579959869385
comparison_01,0,1,0,0.6019002199172974
comparison_01,0,2,13,0.16200928390026093
comparison_01,0,3,14,0.082387775182724
comparison_01,1,1,0,0.5966319441795349
comparison_01,1,2,13,0.14986935257911682
comparison_01,1,3,14,0.09118801355361938
comparison_01,2,1,0,0.5897409915924072
comparison_01,2,2,13,0.14081263542175293
comparison_01,2,3,14,0.11040641367435455
comparison_01,3,1,0,0.6052786707878113
comparison_01,3,2,13,0.13726739585399628
comparison_01,3,3,14,0.10850095748901367
