sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.23232299089431763
local_01,0,1,64,127,0.02569469064474106
local_01,0,2,128,191,0.03135821595788002
local_01,0,3,192,255,0.015703119337558746
local_01,0,4,256,319,0.016306711360812187
local_01,0,5,320,383,0.0206215288490057
local_01,0,6,384,447,0.018745046108961105
local_01,0,7,448,511,0.021715540438890457
local_01,0,8,512,575,0.024267293512821198
local_01,0,9,576,639,0.030904525890946388
local_01,0,10,640,703,0.3760863244533539
local_01,0,11,704,712,0.186273992061615
local_01,1,0,0,63,0.23156681656837463
local_01,1,1,64,127,0.02725232020020485
local_01,1,2,128,191,0.029754316434264183
local_01,1,3,192,255,0.0152346882969141
local_01,1,4,256,319,0.015587392263114452
local_01,1,5,320,383,0.020133571699261665
local_01,1,6,384,447,0.018689287826418877
local_01,1,7,448,511,0.020778227597475052
local_01,1,8,512,575,0.02410295605659485
local_01,1,9,576,639,0.030124768614768982
local_01,1,10,640,703,0.3646160364151001
local_01,1,11,704,713,0.20215967297554016
local_01,2,0,0,63,0.23074683547019958
local_01,2,1,64,127,0.02650439739227295
local_01,2,2,128,191,0.031201953068375587
local_01,2,3,192,255,0.014483833685517311
local_01,2,4,256,319,0.014569927006959915
local_01,2,5,320,383,0.01963968761265278
local_01,2,6,384,447,0.018337581306695938
local_01,2,7,448,511,0.020912040024995804
local_01,2,8,512,575,0.02435896545648575
local_01,2,9,576,639,0.031544171273708344
local_01,2,10,640,703,0.35105034708976746
local_01,2,11,704,714,0.21665029227733612
local_01,3,0,0,63,0.22299885749816895
local_01,3,1,64,127,0.029973763972520828
local_01,3,2,128,191,0.03608730807900429
local_01,3,3,192,255,0.019007978960871696
local_01,3,4,256,319,0.016693709418177605
local_01,3,5,320,383,0.021819142624735832
local_01,3,6,384,447,0.018654463812708855
local_01,3,7,448,511,0.022097263485193253
local_01,3,8,512,575,0.02477904036641121
local_01,3,9,576,639,0.030617084354162216
local_01,3,10,640,703,0.35277682542800903
local_01,3,11,704,715,0.20449456572532654
local_01,4,0,0,63,0.23013615608215332
local_01,4,1,64,127,0.03409735858440399
local_01,4,2,128,191,0.03641100227832794
local_01,4,3,192,255,0.018596388399600983
local_01,4,4,256,319,0.01658792607486248
local_01,4,5,320,383,0.021184803918004036
local_01,4,6,384,447,0.018407076597213745
local_01,4,7,448,511,0.021837405860424042
local_01,4,8,512,575,0.024306077510118484
local_01,4,9,576,639,0.03008238598704338
local_01,4,10,640,703,0.3626687526702881
local_01,4,11,704,716,0.18568463623523712
local_01,5,0,0,63,0.22684481739997864
local_01,5,1,64,127,0.03564354032278061
local_01,5,2,128,191,0.036234572529792786
local_01,5,3,192,255,0.02270524390041828
local_01,5,4,256,319,0.017791641876101494
local_01,5,5,320,383,0.02290055900812149
local_01,5,6,384,447,0.019490160048007965
local_01,5,7,448,511,0.022285649552941322
local_01,5,8,512,575,0.02625870890915394
local_01,5,9,576,639,0.031249022111296654
local_01,5,10,640,703,0.356351375579834
local_01,5,11,704,717,0.1822446882724762
local_01,6,0,0,63,0.2461903691291809
local_01,6,1,64,127,0.03461211919784546
local_01,6,2,128,191,0.0331670418381691
local_01,6,3,192,255,0.020263176411390305
local_01,6,4,256,319,0.017161933705210686
local_01,6,5,320,383,0.023059071972966194
local_01,6,6,384,447,0.019839510321617126
local_01,6,7,448,511,0.022244904190301895
local_01,6,8,512,575,0.026772569864988327
local_01,6,9,576,639,0.032668452709913254
local_01,6,10,640,703,0.34643569588661194
local_01,6,11,704,718,0.1775851845741272
local_01,7,0,0,63,0.2363101989030838
local_01,7,1,64,127,0.030427653342485428
local_01,7,2,128,191,0.032796695828437805
local_01,7,3,192,255,0.019683681428432465
local_01,7,4,256,319,0.01646379381418228
local_01,7,5,320,383,0.02226090058684349
local_01,7,6,384,447,0.01946595311164856
local_01,7,7,448,511,0.022270290181040764
local_01,7,8,512,575,0.027221864089369774
local_01,7,9,576,639,0.032919030636548996
local_01,7,10,640,703,0.33115413784980774
local_01,7,11,704,719,0.2090258151292801
local_01,8,0,0,63,0.2322085052728653
local_01,8,1,64,127,0.027605153620243073
local_01,8,2,128,191,0.034013230353593826
local_01,8,3,192,255,0.017155833542346954
local_01,8,4,256,319,0.01714363694190979
local_01,8,5,320,383,0.021229738369584084
local_01,8,6,384,447,0.018708806484937668
local_01,8,7,448,511,0.021662261337041855
local_01,8,8,512,575,0.02484123408794403
local_01,8,9,576,639,0.0309351347386837
local_01,8,10,640,703,0.3531336784362793
local_01,8,11,704,720,0.201362743973732
local_01,9,0,0,63,0.21963095664978027
local_01,9,1,64,127,0.028014767915010452
local_01,9,2,128,191,0.038336098194122314
local_01,9,3,192,255,0.018426215276122093
local_01,9,4,256,319,0.017860066145658493
local_01,9,5,320,383,0.02258138731122017
local_01,9,6,384,447,0.01933526061475277
local_01,9,7,448,511,0.022067885845899582
local_01,9,8,512,575,0.025417253375053406
local_01,9,9,576,639,0.03210321068763733
local_01,9,10,640,703,0.357666015625
local_01,9,11,704,721,0.19856083393096924
local_01,10,0,0,63,0.22669509053230286
local_01,10,1,64,127,0.02904433012008667
local_01,10,2,128,191,0.038771241903305054
local_01,10,3,192,255,0.01860300824046135
local_01,10,4,256,319,0.017616314813494682
local_01,10,5,320,383,0.02245008759200573
local_01,10,6,384,447,0.019313989207148552
local_01,10,7,448,511,0.02233934961259365
local_01,10,8,512,575,0.025538422167301178
local_01,10,9,576,639,0.03153058513998985
local_01,10,10,640,703,0.3633591830730438
local_01,10,11,704,722,0.1847383975982666
local_01,11,0,0,63,0.24117733538150787
local_01,11,1,64,127,0.029532287269830704
local_01,11,2,128,191,0.03754817694425583
local_01,11,3,192,255,0.01721978187561035
local_01,11,4,256,319,0.016342058777809143
local_01,11,5,320,383,0.02173333615064621
local_01,11,6,384,447,0.019194357097148895
local_01,11,7,448,511,0.02214910462498665
local_01,11,8,512,575,0.025641538202762604
local_01,11,9,576,639,0.03221672400832176
local_01,11,10,640,703,0.32851850986480713
local_01,11,11,704,723,0.20872682332992554
