sample_id,type,original_tokens,truncated_tokens,max_input_tokens,was_truncated,strategy
local_01,local,712,712,900,False,not_truncated
local_02,local,714,714,900,False,not_truncated
local_03,local,715,715,900,False,not_truncated
local_04,local,700,700,900,False,not_truncated
local_05,local,713,713,900,False,not_truncated
local_06,local,713,713,900,False,not_truncated
local_07,local,716,716,900,False,not_truncated
local_08,local,715,715,900,False,not_truncated
local_09,local,716,716,900,False,not_truncated
local_10,local,713,713,900,False,not_truncated
early_recall_01,long_range,704,704,900,False,not_truncated
early_recall_02,long_range,707,707,900,False,not_truncated
early_recall_03,long_range,708,708,900,False,not_truncated
early_recall_04,long_range,707,707,900,False,not_truncated
early_recall_05,long_range,706,706,900,False,not_truncated
early_recall_06,long_range,707,707,900,False,not_truncated
early_recall_07,long_range,706,706,900,False,not_truncated
early_recall_08,long_range,706,706,900,False,not_truncated
early_recall_09,long_range,704,704,900,False,not_truncated
early_recall_10,long_range,708,708,900,False,not_truncated
middle_recall_01,long_range,703,703,900,False,not_truncated
middle_recall_02,long_range,709,709,900,False,not_truncated
middle_recall_03,long_range,706,706,900,False,not_truncated
middle_recall_04,long_range,705,705,900,False,not_truncated
middle_recall_05,long_range,702,702,900,False,not_truncated
middle_recall_06,long_range,706,706,900,False,not_truncated
middle_recall_07,long_range,705,705,900,False,not_truncated
middle_recall_08,long_range,704,704,900,False,not_truncated
middle_recall_09,long_range,703,703,900,False,not_truncated
middle_recall_10,long_range,710,710,900,False,not_truncated
comparison_01,long_range,712,712,900,False,not_truncated
comparison_02,long_range,712,712,900,False,not_truncated
comparison_03,long_range,710,710,900,False,not_truncated
comparison_04,long_range,708,708,900,False,not_truncated
comparison_05,long_range,712,712,900,False,not_truncated
comparison_06,long_range,714,714,900,False,not_truncated
comparison_07,long_range,709,709,900,False,not_truncated
comparison_08,long_range,709,709,900,False,not_truncated
comparison_09,long_range,712,712,900,False,not_truncated
comparison_10,long_range,712,712,900,False,not_truncated
