sample_id,step,sink_mass,recent_mass,cold_mass
local_01,0,0.4627838432788849,0.41350680589675903,0.12370932102203369
local_01,1,0.4952409565448761,0.3930530548095703,0.1117059588432312
local_01,2,0.47320041060447693,0.4057943820953369,0.12100528925657272
local_01,3,0.45840078592300415,0.4170457422733307,0.12455356866121292
local_01,4,0.4627343416213989,0.38506296277046204,0.152202770113945
local_01,5,0.47088971734046936,0.3570907711982727,0.1720195710659027
local_01,6,0.5013688802719116,0.3195251524448395,0.1791059523820877
local_01,7,0.4678696393966675,0.3825928866863251,0.14953747391700745
local_01,8,0.4891446530818939,0.3787824213504791,0.13207294046878815
local_01,9,0.6336798071861267,0.25305676460266113,0.11326347291469574
local_01,10,0.4694991707801819,0.3780994117259979,0.1524013876914978
local_01,11,0.49552273750305176,0.3469838500022888,0.1574934422969818
local_01,12,0.4647194743156433,0.384670615196228,0.15060976147651672
local_01,13,0.4567098915576935,0.4240662455558777,0.11922392249107361
local_01,14,0.7001683712005615,0.1991397589445114,0.10069184005260468
local_02,0,0.4673442542552948,0.41018146276474,0.12247427552938461
local_02,1,0.49645495414733887,0.3903045952320099,0.11324042081832886
local_02,2,0.4763799011707306,0.40380799770355225,0.11981201171875
local_02,3,0.46162936091423035,0.4235202968120575,0.11485035717487335
local_02,4,0.4719724953174591,0.39679718017578125,0.1312302201986313
local_02,5,0.4912821650505066,0.3754581809043884,0.13325966894626617
local_02,6,0.5055359601974487,0.3556581139564514,0.13880591094493866
local_02,7,0.49943751096725464,0.36041033267974854,0.1401522159576416
local_02,8,0.5104625225067139,0.3648359775543213,0.12470157444477081
local_02,9,0.49999484419822693,0.37531328201293945,0.12469182908535004
local_02,10,0.5163886547088623,0.349462628364563,0.13414867222309113
local_02,11,0.5782839059829712,0.29590684175491333,0.12580916285514832
local_02,12,0.4873262047767639,0.3798869848251343,0.1327868402004242
local_02,13,0.4530085623264313,0.42977607250213623,0.11721531301736832
local_02,14,0.46184468269348145,0.42066460847854614,0.1174907237291336
local_02,15,0.7024455070495605,0.19563671946525574,0.10191773623228073
local_03,0,0.46487265825271606,0.4168844223022461,0.11824296414852142
local_03,1,0.4952438473701477,0.39144715666770935,0.11330907046794891
local_03,2,0.47050169110298157,0.40881070494651794,0.12068751454353333
local_03,3,0.45043590664863586,0.4365561008453369,0.11300801485776901
local_03,4,0.46314099431037903,0.40428876876831055,0.132570281624794
local_03,5,0.4735053479671478,0.3715188205242157,0.15497569739818573
local_03,6,0.5067248344421387,0.321159303188324,0.17211589217185974
local_03,7,0.49936431646347046,0.3588372468948364,0.1417984515428543
local_03,8,0.5648505091667175,0.30611085891723633,0.12903857231140137
local_03,9,0.4951719343662262,0.35200709104537964,0.15282094478607178
local_03,10,0.46389660239219666,0.409267783164978,0.12683556973934174
local_03,11,0.4798518419265747,0.41219913959503174,0.10794906318187714
local_03,12,0.4626491665840149,0.42309874296188354,0.11425209045410156
local_03,13,0.6988849639892578,0.20180891454219818,0.09930608421564102
local_04,0,0.4536083936691284,0.42619261145591736,0.12019897997379303
local_04,1,0.4859667122364044,0.40225452184677124,0.11177872121334076
local_04,2,0.460645467042923,0.4210997223854065,0.11825472116470337
local_04,3,0.44565457105636597,0.43694934248924255,0.11739605665206909
local_04,4,0.4566997289657593,0.4106622040271759,0.13263797760009766
local_04,5,0.5071017146110535,0.36849451065063477,0.12440388649702072
local_04,6,0.49051907658576965,0.3708924651145935,0.13858844339847565
local_04,7,0.5735547542572021,0.29840195178985596,0.1280432790517807
local_04,8,0.5750795006752014,0.2891964018344879,0.13572409749031067
local_04,9,0.553048849105835,0.32649698853492737,0.12045411765575409
local_04,10,0.4510928690433502,0.42539483308792114,0.12351224571466446
local_04,11,0.4690380096435547,0.4157184362411499,0.11524354666471481
local_04,12,0.4910638630390167,0.3845254182815552,0.12441077828407288
local_04,13,0.5060247778892517,0.37333187460899353,0.12064329534769058
local_04,14,0.5025493502616882,0.39461642503738403,0.10283412039279938
local_04,15,0.4601645767688751,0.42435595393180847,0.1154794692993164
local_05,0,0.4678891599178314,0.4069349765777588,0.12517578899860382
local_05,1,0.4989476501941681,0.3859769105911255,0.11507534980773926
local_05,2,0.47744399309158325,0.3990404009819031,0.12351566553115845
local_05,3,0.46118631958961487,0.41365063190460205,0.12516307830810547
local_05,4,0.47222480177879333,0.3727789521217346,0.15499621629714966
local_05,5,0.4840600788593292,0.3428616523742676,0.1730782389640808
local_05,6,0.5301342010498047,0.30096927285194397,0.16889642179012299
local_05,7,0.6081452965736389,0.2665022015571594,0.12535244226455688
local_05,8,0.4718991219997406,0.3805951774120331,0.14750567078590393
local_05,9,0.4802602529525757,0.39319926500320435,0.12654048204421997
local_05,10,0.4587429463863373,0.40160036087036133,0.13965679705142975
local_05,11,0.4919978678226471,0.37605512142181396,0.13194698095321655
local_05,12,0.5475280284881592,0.3227637708187103,0.12970830500125885
local_05,13,0.49518412351608276,0.3707844614982605,0.13403140008449554
local_05,14,0.45553070306777954,0.40829306840896606,0.1361761838197708
local_05,15,0.45548176765441895,0.4194665253162384,0.12505164742469788
local_06,0,0.4650372266769409,0.4208565354347229,0.1141062080860138
local_06,1,0.4979086220264435,0.39366209506988525,0.1084292083978653
local_06,2,0.4682287871837616,0.4175431728363037,0.11422807723283768
local_06,3,0.45480161905288696,0.43797025084495544,0.10722814500331879
local_06,4,0.4670998156070709,0.4119619131088257,0.1209382712841034
local_06,5,0.4872153401374817,0.38645797967910767,0.12632666528224945
local_06,6,0.6355447769165039,0.24669021368026733,0.11776503920555115
local_06,7,0.546554684638977,0.3307873010635376,0.12265793979167938
local_06,8,0.4916200637817383,0.3929799795150757,0.11539999395608902
local_06,9,0.5039784908294678,0.3847629427909851,0.11125870048999786
local_06,10,0.48663902282714844,0.38523757457733154,0.1281234174966812
local_06,11,0.5396425127983093,0.3244935870170593,0.13586385548114777
local_06,12,0.4548966884613037,0.4180510342121124,0.12705232203006744
local_06,13,0.4562378525733948,0.4352799654006958,0.10848204046487808
local_06,14,0.6910637617111206,0.2079753577709198,0.10096085071563721
local_07,0,0.46648016571998596,0.4159475862979889,0.11757227778434753
local_07,1,0.5031749606132507,0.3883741796016693,0.10845078527927399
local_07,2,0.4790469706058502,0.40186524391174316,0.11908766627311707
local_07,3,0.4639074504375458,0.42654842138290405,0.1095440685749054
local_07,4,0.4621548056602478,0.40265020728111267,0.1351950317621231
local_07,5,0.46858611702919006,0.39179354906082153,0.1396203488111496
local_07,6,0.5326980352401733,0.32274848222732544,0.14455345273017883
local_07,7,0.47964173555374146,0.3838089406490326,0.13654938340187073
local_07,8,0.46948012709617615,0.39446377754211426,0.13605614006519318
local_07,9,0.49999213218688965,0.34686213731765747,0.1531457006931305
local_07,10,0.4450167119503021,0.4251416325569153,0.12984159588813782
local_07,11,0.5226843953132629,0.36793553829193115,0.10938012599945068
local_07,12,0.48177042603492737,0.40301287174224854,0.1152166873216629
local_07,13,0.5065686106681824,0.37449324131011963,0.1189381405711174
local_07,14,0.5343103408813477,0.3341905474662781,0.13149911165237427
local_07,15,0.456276535987854,0.40481534600257874,0.13890814781188965
local_08,0,0.46649858355522156,0.40908414125442505,0.124417245388031
local_08,1,0.4979780316352844,0.38667574524879456,0.11534610390663147
local_08,2,0.4746875762939453,0.4039989709854126,0.12131345272064209
local_08,3,0.45788949728012085,0.42356979846954346,0.1185407042503357
local_08,4,0.4701049327850342,0.3957776427268982,0.13411740958690643
local_08,5,0.48955443501472473,0.3899874687194824,0.12045806646347046
local_08,6,0.46977895498275757,0.3918684124946594,0.1383526772260666
local_08,7,0.5001735687255859,0.3610231280326843,0.13880330324172974
local_08,8,0.5276199579238892,0.3258731961250305,0.14650678634643555
local_08,9,0.5024704933166504,0.370003342628479,0.12752610445022583
local_08,10,0.49893373250961304,0.38149333000183105,0.11957286298274994
local_08,11,0.5082180500030518,0.37307119369506836,0.11871080100536346
local_08,12,0.5070956945419312,0.37017303705215454,0.12273120880126953
local_08,13,0.50818932056427,0.3609040379524231,0.1309066116809845
local_08,14,0.5848550200462341,0.29088667035102844,0.1242583766579628
local_08,15,0.46319401264190674,0.4021883010864258,0.1346176266670227
local_09,0,0.4653286635875702,0.4088449478149414,0.1258261799812317
local_09,1,0.49761268496513367,0.38811665773391724,0.11427068710327148
local_09,2,0.4756297171115875,0.40006083250045776,0.12430942058563232
local_09,3,0.45669320225715637,0.41985762119293213,0.12344924360513687
local_09,4,0.46777117252349854,0.353240966796875,0.1789877563714981
local_09,5,0.47230222821235657,0.34870511293411255,0.17899274826049805
local_09,6,0.49550697207450867,0.3612872064113617,0.14320582151412964
local_09,7,0.48893019556999207,0.3545154333114624,0.15655452013015747
local_09,8,0.5295743942260742,0.31615111231803894,0.15427446365356445
local_09,9,0.4549679160118103,0.41133564710617065,0.13369643688201904
local_09,10,0.4671655595302582,0.3844933807849884,0.14834114909172058
local_09,11,0.4955253601074219,0.35351014137268066,0.15096451342105865
local_09,12,0.5313893556594849,0.30531102418899536,0.163299560546875
local_09,13,0.42373329401016235,0.42149341106414795,0.1547732949256897
local_09,14,0.4560988247394562,0.41815710067749023,0.12574408948421478
local_09,15,0.6976318359375,0.20141556859016418,0.10095249861478806
local_10,0,0.4681128263473511,0.41274717450141907,0.11914005130529404
local_10,1,0.5010253190994263,0.38909515738487244,0.10987957566976547
local_10,2,0.47479039430618286,0.40814733505249023,0.11706225574016571
local_10,3,0.4589146673679352,0.42414939403533936,0.11693593859672546
local_10,4,0.475717157125473,0.3770517110824585,0.1472311019897461
local_10,5,0.49638956785202026,0.3696609139442444,0.13394956290721893
local_10,6,0.5167530179023743,0.34979474544525146,0.13345225155353546
local_10,7,0.620871365070343,0.2583748400211334,0.12075388431549072
local_10,8,0.49321576952934265,0.3493342101573944,0.15744993090629578
local_10,9,0.5112532377243042,0.3326933979988098,0.15605327486991882
local_10,10,0.42978227138519287,0.42548978328704834,0.14472803473472595
local_10,11,0.4703926146030426,0.4174540042877197,0.11215341091156006
local_10,12,0.7005873322486877,0.19840852916240692,0.10100425034761429
early_recall_01,0,0.48131832480430603,0.3667163848876953,0.1519651710987091
early_recall_01,1,0.4645750820636749,0.3691577613353729,0.16626717150211334
early_recall_01,2,0.49071621894836426,0.3170851767063141,0.19219858944416046
early_recall_01,3,0.5038365721702576,0.32409194111824036,0.17207150161266327
early_recall_01,4,0.5373561382293701,0.2865965962409973,0.17604732513427734
early_recall_01,5,0.4420965313911438,0.40442851185798645,0.15347488224506378
early_recall_01,6,0.44965869188308716,0.36954373121261597,0.18079762160778046
early_recall_01,7,0.5478752255439758,0.2706376910209656,0.1814870536327362
early_recall_01,8,0.6359869837760925,0.20581215620040894,0.1582009345293045
early_recall_01,9,0.5383033752441406,0.28308701515197754,0.1786096692085266
early_recall_01,10,0.531299889087677,0.3077321946620941,0.1609678864479065
early_recall_01,11,0.5342007279396057,0.3039064407348633,0.1618928611278534
