sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.4754514992237091
local_01,0,1,64,127,0.011823257431387901
local_01,0,2,128,191,0.01276053674519062
local_01,0,3,192,255,0.012379646301269531
local_01,0,4,256,319,0.007660729810595512
local_01,0,5,320,383,0.0082201287150383
local_01,0,6,384,447,0.008975855074822903
local_01,0,7,448,511,0.007710292469710112
local_01,0,8,512,575,0.008097921498119831
local_01,0,9,576,639,0.00979993212968111
local_01,0,10,640,703,0.010602772235870361
local_01,0,11,704,767,0.01317635178565979
local_01,0,12,768,831,0.02610686793923378
local_01,0,13,832,894,0.3872342109680176
local_01,1,0,0,63,0.5051876306533813
local_01,1,1,64,127,0.010442524217069149
local_01,1,2,128,191,0.010641228407621384
local_01,1,3,192,255,0.010070482268929482
local_01,1,4,256,319,0.007098674774169922
local_01,1,5,320,383,0.006877534091472626
local_01,1,6,384,447,0.008176240138709545
local_01,1,7,448,511,0.007587559055536985
local_01,1,8,512,575,0.007629767991602421
local_01,1,9,576,639,0.010022513568401337
local_01,1,10,640,703,0.010956890881061554
local_01,1,11,704,767,0.012255916371941566
local_01,1,12,768,831,0.025739647448062897
local_01,1,13,832,895,0.3673133850097656
local_01,2,0,0,63,0.485105961561203
local_01,2,1,64,127,0.012009182944893837
local_01,2,2,128,191,0.011845307424664497
local_01,2,3,192,255,0.010816618800163269
local_01,2,4,256,319,0.00776933366432786
local_01,2,5,320,383,0.007440810091793537
local_01,2,6,384,447,0.008002478629350662
local_01,2,7,448,511,0.008153703995049
local_01,2,8,512,575,0.008080421015620232
local_01,2,9,576,639,0.010323954746127129
local_01,2,10,640,703,0.012029861100018024
local_01,2,11,704,767,0.012512004002928734
local_01,2,12,768,831,0.024205971509218216
local_01,2,13,832,895,0.3365733027458191
local_01,2,14,896,896,0.045131243765354156
local_01,3,0,0,63,0.4717209041118622
local_01,3,1,64,127,0.013126642443239689
local_01,3,2,128,191,0.011531369760632515
local_01,3,3,192,255,0.013285762630403042
local_01,3,4,256,319,0.007753321900963783
local_01,3,5,320,383,0.007711365818977356
local_01,3,6,384,447,0.009031148627400398
local_01,3,7,448,511,0.007456027902662754
local_01,3,8,512,575,0.007560213562101126
local_01,3,9,576,639,0.009681528434157372
local_01,3,10,640,703,0.011033324524760246
local_01,3,11,704,767,0.012820666655898094
local_01,3,12,768,831,0.025625642389059067
local_01,3,13,832,895,0.3151543140411377
local_01,3,14,896,897,0.07650787383317947
local_01,4,0,0,63,0.4803050458431244
local_01,4,1,64,127,0.019625278189778328
local_01,4,2,128,191,0.01629108563065529
local_01,4,3,192,255,0.014197575859725475
local_01,4,4,256,319,0.009200863540172577
local_01,4,5,320,383,0.009400052949786186
local_01,4,6,384,447,0.009956300258636475
local_01,4,7,448,511,0.008390853181481361
local_01,4,8,512,575,0.008807321079075336
local_01,4,9,576,639,0.010814578272402287
local_01,4,10,640,703,0.012679444625973701
local_01,4,11,704,767,0.014817729592323303
local_01,4,12,768,831,0.02566519007086754
local_01,4,13,832,895,0.26439881324768066
local_01,4,14,896,898,0.09544995427131653
local_01,5,0,0,63,0.4892817735671997
local_01,5,1,64,127,0.02048429101705551
local_01,5,2,128,191,0.018856361508369446
local_01,5,3,192,255,0.016849080100655556
local_01,5,4,256,319,0.01273235771805048
local_01,5,5,320,383,0.01123475469648838
local_01,5,6,384,447,0.010422421619296074
local_01,5,7,448,511,0.010415250435471535
local_01,5,8,512,575,0.009778994135558605
local_01,5,9,576,639,0.01079824473708868
local_01,5,10,640,703,0.015885107219219208
local_01,5,11,704,767,0.015639653429389
local_01,5,12,768,831,0.021914131939411163
local_01,5,13,832,895,0.22998830676078796
local_01,5,14,896,899,0.10571929812431335
local_01,6,0,0,63,0.5239481329917908
local_01,6,1,64,127,0.026205770671367645
local_01,6,2,128,191,0.022299572825431824
local_01,6,3,192,255,0.014676966704428196
local_01,6,4,256,319,0.013169930316507816
local_01,6,5,320,383,0.01097127329558134
local_01,6,6,384,447,0.009513111785054207
local_01,6,7,448,511,0.010180780664086342
local_01,6,8,512,575,0.009557487443089485
local_01,6,9,576,639,0.010244390927255154
local_01,6,10,640,703,0.014512088149785995
local_01,6,11,704,767,0.014462729915976524
local_01,6,12,768,831,0.019070034846663475
local_01,6,13,832,895,0.1654721051454544
local_01,6,14,896,900,0.1357155591249466
local_01,7,0,0,63,0.48381417989730835
local_01,7,1,64,127,0.022629372775554657
local_01,7,2,128,191,0.014798001386225224
local_01,7,3,192,255,0.013275086879730225
local_01,7,4,256,319,0.012316767126321793
local_01,7,5,320,383,0.00863150879740715
local_01,7,6,384,447,0.008990107104182243
local_01,7,7,448,511,0.009591670706868172
local_01,7,8,512,575,0.008236550725996494
local_01,7,9,576,639,0.009847060777246952
local_01,7,10,640,703,0.012331778183579445
local_01,7,11,704,767,0.012095870450139046
local_01,7,12,768,831,0.020104341208934784
local_01,7,13,832,895,0.18080425262451172
local_01,7,14,896,901,0.1825334131717682
local_01,8,0,0,63,0.5015820264816284
local_01,8,1,64,127,0.017774010077118874
local_01,8,2,128,191,0.013412751257419586
local_01,8,3,192,255,0.010234709829092026
local_01,8,4,256,319,0.00932654645293951
local_01,8,5,320,383,0.008145080879330635
local_01,8,6,384,447,0.008747421205043793
