sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
local_01,0,nan,nan,nan
local_01,1,1.0,0.0,0.9428571428571428
local_01,2,0.5,0.5,0.7035714285714285
local_01,3,1.0,0.0,0.8892857142857141
local_01,4,1.0,0.0,0.9714285714285713
local_01,5,1.0,0.0,0.9535714285714283
local_01,6,1.0,0.0,0.9785714285714284
local_01,7,1.0,0.0,0.9607142857142855
local_01,8,1.0,0.0,0.9642857142857141
local_01,9,1.0,0.0,0.932142857142857
local_01,10,1.0,0.0,0.8892857142857141
local_01,11,1.0,0.0,0.9964285714285712
local_01,12,1.0,0.0,0.9928571428571428
local_01,13,1.0,0.0,0.9678571428571429
local_01,14,1.0,0.0,0.7928571428571427
local_02,0,nan,nan,nan
local_02,1,1.0,0.0,0.9384615384615385
local_02,2,1.0,0.0,0.9868131868131869
local_02,3,1.0,0.0,0.9780219780219781
local_02,4,0.5,0.5,0.7107142857142856
local_02,5,1.0,0.0,0.9892857142857142
local_02,6,1.0,0.0,0.9892857142857142
local_02,7,1.0,0.0,0.9642857142857141
local_02,8,1.0,0.0,0.9285714285714284
local_02,9,1.0,0.0,0.9607142857142855
local_02,10,1.0,0.0,0.9892857142857142
local_02,11,1.0,0.0,0.9571428571428571
local_02,12,1.0,0.0,0.9749999999999999
local_02,13,1.0,0.0,0.9535714285714283
local_02,14,1.0,0.0,0.9785714285714284
local_02,15,1.0,0.0,0.8642857142857141
local_03,0,nan,nan,nan
local_03,1,1.0,0.0,0.9384615384615385
local_03,2,1.0,0.0,0.9780219780219781
local_03,3,1.0,0.0,0.9604395604395607
local_03,4,0.5,0.5,0.7071428571428571
local_03,5,1.0,0.0,0.907142857142857
local_03,6,1.0,0.0,0.9678571428571429
local_03,7,1.0,0.0,0.982142857142857
local_03,8,1.0,0.0,0.9285714285714284
local_03,9,1.0,0.0,0.9464285714285712
local_03,10,1.0,0.0,0.9749999999999999
local_03,11,1.0,0.0,0.9428571428571427
local_03,12,1.0,0.0,0.9749999999999999
local_03,13,1.0,0.0,0.8678571428571429
local_04,0,nan,nan,nan
local_04,1,1.0,0.0,0.9824175824175824
local_04,2,1.0,0.0,0.9868131868131869
local_04,3,1.0,0.0,0.9912087912087912
local_04,4,1.0,0.0,0.9824175824175824
local_04,5,1.0,0.0,0.9868131868131869
local_04,6,1.0,0.0,0.9912087912087912
local_04,7,1.0,0.0,0.9604395604395607
local_04,8,1.0,0.0,0.9736263736263736
local_04,9,1.0,0.0,0.9604395604395607
local_04,10,1.0,0.0,0.9692307692307693
local_04,11,1.0,0.0,0.9516483516483516
local_04,12,1.0,0.0,0.9692307692307693
local_04,13,1.0,0.0,0.9912087912087912
local_04,14,1.0,0.0,0.9824175824175824
local_04,15,1.0,0.0,0.9912087912087912
local_05,0,nan,nan,nan
local_05,1,1.0,0.0,0.9384615384615385
local_05,2,1.0,0.0,0.9604395604395607
local_05,3,1.0,0.0,0.9824175824175824
local_05,4,0.5,0.5,0.6642857142857141
local_05,5,1.0,0.0,0.95
local_05,6,1.0,0.0,0.9928571428571428
local_05,7,1.0,0.0,0.9392857142857142
local_05,8,1.0,0.0,0.9749999999999999
local_05,9,1.0,0.0,0.982142857142857
local_05,10,1.0,0.0,0.9392857142857142
local_05,11,1.0,0.0,0.9928571428571428
local_05,12,1.0,0.0,0.9607142857142855
local_05,13,1.0,0.0,0.9642857142857141
local_05,14,1.0,0.0,0.982142857142857
local_05,15,1.0,0.0,0.914285714285714
local_06,0,nan,nan,nan
local_06,1,1.0,0.0,0.9252747252747253
local_06,2,1.0,0.0,0.9912087912087912
local_06,3,1.0,0.0,0.9912087912087912
local_06,4,1.0,0.0,0.9956043956043955
local_06,5,1.0,0.0,0.9692307692307693
local_06,6,0.5,0.5,0.7071428571428571
local_06,7,1.0,0.0,0.982142857142857
local_06,8,1.0,0.0,0.9714285714285713
local_06,9,1.0,0.0,0.9928571428571428
local_06,10,1.0,0.0,0.9785714285714284
local_06,11,1.0,0.0,0.9857142857142854
local_06,12,1.0,0.0,0.982142857142857
local_06,13,1.0,0.0,0.9642857142857141
local_06,14,1.0,0.0,0.9214285714285713
local_07,0,nan,nan,nan
local_07,1,1.0,0.0,0.9648351648351648
local_07,2,1.0,0.0,0.9868131868131869
local_07,3,0.5,0.5,0.7035714285714285
local_07,4,1.0,0.0,0.9571428571428571
local_07,5,1.0,0.0,0.95
local_07,6,1.0,0.0,0.9678571428571429
local_07,7,1.0,0.0,0.9928571428571428
local_07,8,1.0,0.0,0.95
local_07,9,1.0,0.0,0.9535714285714283
