subtype,chunk_id,topk_count,subtype_topk_rows,frequency,mean_importance
local,0,153,459,0.3333333333333333,0.5120846021409128
local,13,153,459,0.3333333333333333,0.2550700553784183
local,14,104,459,0.22657952069716775,0.12938059382857034
local,12,49,459,0.10675381263616558,0.04653144403531838
early_recall,0,153,459,0.3333333333333333,0.5651839252780465
early_recall,13,153,459,0.3333333333333333,0.29092068044967895
early_recall,12,150,459,0.32679738562091504,0.024380427325765244
early_recall,1,2,459,0.004357298474945534,0.022632799111306598
early_recall,14,1,459,0.002178649237472767,0.0465114489197731
middle_recall,0,146,438,0.3333333333333333,0.4867086261510849
middle_recall,13,146,438,0.3333333333333333,0.30837363800773876
middle_recall,6,139,438,0.317351598173516,0.05946337041719779
middle_recall,12,7,438,0.01598173515981735,0.023165487551263356
comparison,0,104,312,0.3333333333333333,0.5032255357274642
comparison,13,104,312,0.3333333333333333,0.1694835922322594
comparison,14,104,312,0.3333333333333333,0.17188671209777773
