sample_id,step,chunk_id,token_start,token_end,importance
local_01,0,0,0,63,0.4754514992237091
local_01,0,1,64,127,0.011823257431387901
local_01,0,2,128,191,0.01276053674519062
local_01,0,3,192,255,0.012379646301269531
local_01,0,4,256,319,0.007660729810595512
local_01,0,5,320,383,0.0082201287150383
local_01,0,6,384,447,0.008975855074822903
local_01,0,7,448,511,0.007710292469710112
local_01,0,8,512,575,0.008097921498119831
local_01,0,9,576,639,0.00979993212968111
local_01,0,10,640,703,0.010602772235870361
local_01,0,11,704,767,0.01317635178565979
local_01,0,12,768,831,0.02610686793923378
local_01,0,13,832,894,0.3872342109680176
local_01,1,0,0,63,0.5051876306533813
local_01,1,1,64,127,0.010442524217069149
local_01,1,2,128,191,0.010641228407621384
local_01,1,3,192,255,0.010070482268929482
local_01,1,4,256,319,0.007098674774169922
local_01,1,5,320,383,0.006877534091472626
local_01,1,6,384,447,0.008176240138709545
local_01,1,7,448,511,0.007587559055536985
local_01,1,8,512,575,0.007629767991602421
local_01,1,9,576,639,0.010022513568401337
local_01,1,10,640,703,0.010956890881061554
local_01,1,11,704,767,0.012255916371941566
local_01,1,12,768,831,0.025739647448062897
local_01,1,13,832,895,0.3673133850097656
local_01,2,0,0,63,0.485105961561203
local_01,2,1,64,127,0.012009182944893837
local_01,2,2,128,191,0.011845307424664497
local_01,2,3,192,255,0.010816618800163269
local_01,2,4,256,319,0.00776933366432786
local_01,2,5,320,383,0.007440810091793537
local_01,2,6,384,447,0.008002478629350662
local_01,2,7,448,511,0.008153703995049
local_01,2,8,512,575,0.008080421015620232
local_01,2,9,576,639,0.010323954746127129
local_01,2,10,640,703,0.012029861100018024
local_01,2,11,704,767,0.012512004002928734
local_01,2,12,768,831,0.024205971509218216
local_01,2,13,832,895,0.3365733027458191
local_01,2,14,896,896,0.045131243765354156
local_01,3,0,0,63,0.4717209041118622
local_01,3,1,64,127,0.013126642443239689
local_01,3,2,128,191,0.011531369760632515
local_01,3,3,192,255,0.013285762630403042
local_01,3,4,256,319,0.007753321900963783
local_01,3,5,320,383,0.007711365818977356
local_01,3,6,384,447,0.009031148627400398
local_01,3,7,448,511,0.007456027902662754
local_01,3,8,512,575,0.007560213562101126
local_01,3,9,576,639,0.009681528434157372
local_01,3,10,640,703,0.011033324524760246
local_01,3,11,704,767,0.012820666655898094
local_01,3,12,768,831,0.025625642389059067
local_01,3,13,832,895,0.3151543140411377
local_01,3,14,896,897,0.07650787383317947
local_02,0,0,0,63,0.48079025745391846
local_02,0,1,64,127,0.013147111050784588
local_02,0,2,128,191,0.011903474107384682
local_02,0,3,192,255,0.010189436376094818
local_02,0,4,256,319,0.008685995824635029
local_02,0,5,320,383,0.007886957377195358
local_02,0,6,384,447,0.007826348766684532
local_02,0,7,448,511,0.007734980899840593
local_02,0,8,512,575,0.008603894151747227
local_02,0,9,576,639,0.009707286022603512
local_02,0,10,640,703,0.01051719393581152
local_02,0,11,704,767,0.013320092111825943
local_02,0,12,768,831,0.02750052511692047
local_02,0,13,832,892,0.3821863830089569
local_02,1,0,0,63,0.5076620578765869
local_02,1,1,64,127,0.011408291757106781
local_02,1,2,128,191,0.01035254169255495
local_02,1,3,192,255,0.009094009175896645
local_02,1,4,256,319,0.0073913331143558025
local_02,1,5,320,383,0.007350161671638489
local_02,1,6,384,447,0.007434709928929806
local_02,1,7,448,511,0.007693077903240919
local_02,1,8,512,575,0.008164266124367714
local_02,1,9,576,639,0.009926855564117432
local_02,1,10,640,703,0.011058783158659935
local_02,1,11,704,767,0.012483625672757626
local_02,1,12,768,831,0.026375630870461464
local_02,1,13,832,893,0.36360466480255127
local_02,2,0,0,63,0.48875412344932556
local_02,2,1,64,127,0.012425385415554047
local_02,2,2,128,191,0.01127903163433075
local_02,2,3,192,255,0.009608501568436623
local_02,2,4,256,319,0.00791023951023817
local_02,2,5,320,383,0.007898665964603424
local_02,2,6,384,447,0.00724151823669672
local_02,2,7,448,511,0.008056476712226868
local_02,2,8,512,575,0.00850601214915514
local_02,2,9,576,639,0.010197511874139309
local_02,2,10,640,703,0.011493617668747902
local_02,2,11,704,767,0.013011683709919453
local_02,2,12,768,831,0.025575237348675728
local_02,2,13,832,894,0.3780418932437897
local_02,3,0,0,63,0.4745838940143585
local_02,3,1,64,127,0.011649852618575096
local_02,3,2,128,191,0.010786500759422779
local_02,3,3,192,255,0.00978604331612587
local_02,3,4,256,319,0.007363952696323395
local_02,3,5,320,383,0.00761485006660223
local_02,3,6,384,447,0.007279655896127224
local_02,3,7,448,511,0.007448188960552216
local_02,3,8,512,575,0.007748188450932503
local_02,3,9,576,639,0.00941384956240654
local_02,3,10,640,703,0.01018117181956768
local_02,3,11,704,767,0.012623563408851624
local_02,3,12,768,831,0.02679935283958912
local_02,3,13,832,895,0.3967209458351135
local_03,0,0,0,63,0.4775241017341614
local_03,0,1,64,127,0.012368235737085342
local_03,0,2,128,191,0.012175053358078003
local_03,0,3,192,255,0.008569449186325073
local_03,0,4,256,319,0.00850827805697918
local_03,0,5,320,383,0.0074549769051373005
local_03,0,6,384,447,0.007681326940655708
local_03,0,7,448,511,0.00809157732874155
local_03,0,8,512,575,0.008271565660834312
local_03,0,9,576,639,0.009116044268012047
local_03,0,10,640,703,0.010917022824287415
