sample_id,generated_text
local_01,The main instruction is
local_02,The main instruction is
local_03,The main instruction is
local_04,The main instruction is
local_05,The main instruction is
local_06,The main instruction is
local_07,The main instruction is
local_08,The main instruction is
local_09,The main instruction is
local_10,The main instruction is
early_recall_01,The code for the
early_recall_02,The code for the
early_recall_03,The code for the
early_recall_04,The code for the
early_recall_05,The code for the
early_recall_06,The code for the
early_recall_07,The code for the
early_recall_08,The code for the
early_recall_09,The code for the
early_recall_10,The code for the
middle_recall_01,The validation phrase in
middle_recall_02,The validation phrase in
middle_recall_03,The validation phrase in
middle_recall_04,The validation phrase in
middle_recall_05,The validation phrase vio
middle_recall_06,The validation phrase in
middle_recall_07,The validation phrase in
middle_recall_08,The validation phrase in
middle_recall_09,The validation phrase in
middle_recall_10,The validation phrase in
comparison_01,Beta stream has
comparison_02,The answer is south
comparison_03,The answer is blue
comparison_04,Morning pass has
comparison_05,Dynamic plan has the
comparison_06,The answer is new
comparison_07,The larger value is
comparison_08,The second trial has
comparison_09,The larger value is
comparison_10,The larger value is
