sample_id,step,topk_rank,chunk_id,importance
local_01,0,1,0,0.4754514992237091
local_01,0,2,13,0.3872342109680176
local_01,0,3,12,0.02610686793923378
local_01,1,1,0,0.5051876306533813
local_01,1,2,13,0.3673133850097656
local_01,1,3,12,0.025739647448062897
local_01,2,1,0,0.485105961561203
local_01,2,2,13,0.3365733027458191
local_01,2,3,14,0.045131243765354156
local_01,3,1,0,0.4717209041118622
local_01,3,2,13,0.3151543140411377
local_01,3,3,14,0.07650787383317947
local_02,0,1,0,0.48079025745391846
local_02,0,2,13,0.3821863830089569
local_02,0,3,12,0.02750052511692047
local_02,1,1,0,0.5076620578765869
local_02,1,2,13,0.36360466480255127
local_02,1,3,12,0.026375630870461464
local_02,2,1,0,0.48875412344932556
local_02,2,2,13,0.3780418932437897
local_02,2,3,12,0.025575237348675728
local_02,3,1,0,0.4745838940143585
local_02,3,2,13,0.3967209458351135
local_02,3,3,12,0.02679935283958912
local_03,0,1,0,0.4775241017341614
local_03,0,2,13,0.3909860849380493
local_03,0,3,12,0.02518054097890854
local_03,1,1,0,0.5064996480941772
local_03,1,2,13,0.3663066029548645
local_03,1,3,12,0.024625083431601524
local_03,2,1,0,0.4832034707069397
local_03,2,2,13,0.3849153220653534
local_03,2,3,12,0.02376677095890045
local_03,3,1,0,0.4625251591205597
local_03,3,2,13,0.41180145740509033
local_03,3,3,12,0.024754654616117477
local_04,0,1,0,0.4677518308162689
local_04,0,2,13,0.3653164207935333
local_04,0,3,12,0.055231403559446335
local_04,1,1,0,0.49757638573646545
local_04,1,2,13,0.352707177400589
local_04,1,3,12,0.044461630284786224
local_04,2,1,0,0.47391098737716675
local_04,2,2,13,0.35802197456359863
local_04,2,3,12,0.05852452665567398
local_04,3,1,0,0.4610259532928467
local_04,3,2,13,0.35182327032089233
local_04,3,3,12,0.08062787353992462
local_05,0,1,0,0.4818756580352783
local_05,0,2,13,0.3810163736343384
local_05,0,3,12,0.025504086166620255
local_05,1,1,0,0.5097382068634033
local_05,1,2,13,0.36070188879966736
local_05,1,3,12,0.024973874911665916
local_05,2,1,0,0.49027618765830994
local_05,2,2,13,0.37432581186294556
local_05,2,3,12,0.024549178779125214
local_05,3,1,0,0.47537726163864136
local_05,3,2,13,0.3880319893360138
local_05,3,3,12,0.02561863139271736
local_06,0,1,0,0.47737470269203186
local_06,0,2,13,0.3923816382884979
local_06,0,3,12,0.02772817574441433
local_06,1,1,0,0.5078948736190796
local_06,1,2,13,0.3678179681301117
local_06,1,3,12,0.02512039989233017
local_06,2,1,0,0.4793264865875244
local_06,2,2,13,0.3906978368759155
local_06,2,3,12,0.026233281940221786
local_06,3,1,0,0.46615079045295715
local_06,3,2,13,0.4078015387058258
local_06,3,3,12,0.02986220084130764
local_07,0,1,0,0.4795178771018982
local_07,0,2,13,0.3893417716026306
local_07,0,3,12,0.02632155455648899
local_07,1,1,0,0.5131875276565552
local_07,1,2,13,0.3645867109298706
local_07,1,3,12,0.02365173026919365
local_07,2,1,0,0.4913351237773895
local_07,2,2,13,0.3788873255252838
local_07,2,3,12,0.022977927699685097
local_07,3,1,0,0.4759301245212555
local_07,3,2,13,0.3622397780418396
local_07,3,3,14,0.03970891609787941
local_08,0,1,0,0.48050346970558167
local_08,0,2,13,0.3817513585090637
local_08,0,3,12,0.027018330991268158
local_08,1,1,0,0.5096445083618164
local_08,1,2,13,0.3607976734638214
local_08,1,3,12,0.02573026530444622
local_08,2,1,0,0.48752281069755554
local_08,2,2,13,0.37874066829681396
local_08,2,3,12,0.0252582635730505
local_08,3,1,0,0.47111985087394714
local_08,3,2,13,0.35609281063079834
local_08,3,3,14,0.039576880633831024
local_09,0,1,0,0.4797741174697876
local_09,0,2,13,0.3822793960571289
local_09,0,3,12,0.02645113505423069
local_09,1,1,0,0.5088780522346497
local_09,1,2,13,0.3622528314590454
local_09,1,3,12,0.02586381882429123
local_09,2,1,0,0.48902928829193115
local_09,2,2,13,0.3290063142776489
local_09,2,3,14,0.04569530859589577
local_09,3,1,0,0.4724103808403015
local_09,3,2,13,0.31463533639907837
local_09,3,3,14,0.07847253978252411
local_10,0,1,0,0.48138460516929626
local_10,0,2,13,0.3844515085220337
local_10,0,3,12,0.027653086930513382
local_10,1,1,0,0.5118883848190308
local_10,1,2,13,0.3620506227016449
local_10,1,3,12,0.026514863595366478
local_10,2,1,0,0.4868625998497009
local_10,2,2,13,0.3819130063056946
local_10,2,3,12,0.025875069200992584
local_10,3,1,0,0.4739815592765808
local_10,3,2,13,0.3939763009548187
local_10,3,3,12,0.03003939986228943
early_recall_01,0,1,0,0.5105606913566589
early_recall_01,0,2,13,0.32573866844177246
early_recall_01,0,3,12,0.03765956312417984
early_recall_01,1,1,0,0.5035712122917175
early_recall_01,1,2,13,0.337543785572052
early_recall_01,1,3,12,0.028466932475566864
early_recall_01,2,1,0,0.5515378713607788
early_recall_01,2,2,13,0.28689610958099365
early_recall_01,2,3,12,0.027007024735212326
early_recall_01,3,1,0,0.5592695474624634
early_recall_01,3,2,13,0.29482302069664
early_recall_01,3,3,12,0.026792118325829506
early_recall_02,0,1,0,0.5107207894325256
early_recall_02,0,2,13,0.32543325424194336
early_recall_02,0,3,12,0.037414245307445526
early_recall_02,1,1,0,0.5059794783592224
early_recall_02,1,2,13,0.33690109848976135
early_recall_02,1,3,12,0.028082113713026047
early_recall_02,2,1,0,0.5513755083084106
early_recall_02,2,2,13,0.28300169110298157
early_recall_02,2,3,12,0.027559127658605576
early_recall_02,3,1,0,0.5571008920669556
early_recall_02,3,2,13,0.2923339903354645
early_recall_02,3,3,12,0.02635881118476391
early_recall_03,0,1,0,0.5111802220344543
early_recall_03,0,2,13,0.3336799144744873
early_recall_03,0,3,12,0.0321786068379879
early_recall_03,1,1,0,0.5036507844924927
early_recall_03,1,2,13,0.3459431231021881
early_recall_03,1,3,12,0.024049829691648483
early_recall_03,2,1,0,0.5443556904792786
early_recall_03,2,2,13,0.30142083764076233
early_recall_03,2,3,12,0.02488761581480503
early_recall_03,3,1,0,0.5502559542655945
early_recall_03,3,2,13,0.3113784193992615
early_recall_03,3,3,12,0.025005441159009933
early_recall_04,0,1,0,0.5132612586021423
early_recall_04,0,2,13,0.3232380449771881
early_recall_04,0,3,12,0.0350862592458725
early_recall_04,1,1,0,0.508190929889679
early_recall_04,1,2,13,0.331455260515213
early_recall_04,1,3,12,0.027548041194677353
early_recall_04,2,1,0,0.5455744862556458
early_recall_04,2,2,13,0.28552746772766113
early_recall_04,2,3,12,0.02770444005727768
early_recall_04,3,1,0,0.5503507852554321
early_recall_04,3,2,13,0.2969675362110138
early_recall_04,3,3,12,0.027387969195842743
early_recall_05,0,1,0,0.5054797530174255
early_recall_05,0,2,13,0.3280746638774872
early_recall_05,0,3,12,0.03590625524520874
early_recall_05,1,1,0,0.5039482712745667
early_recall_05,1,2,13,0.33609282970428467
early_recall_05,1,3,12,0.02760622650384903
early_recall_05,2,1,0,0.5502946972846985
early_recall_05,2,2,13,0.2883663773536682
early_recall_05,2,3,12,0.026827678084373474
early_recall_05,3,1,0,0.553741991519928
early_recall_05,3,2,13,0.30012696981430054
early_recall_05,3,3,12,0.027009686455130577
early_recall_06,0,1,0,0.506188154220581
early_recall_06,0,2,13,0.3290340006351471
early_recall_06,0,3,12,0.03758276253938675
early_recall_06,1,1,0,0.50162672996521
early_recall_06,1,2,13,0.33889082074165344
early_recall_06,1,3,12,0.028164494782686234
early_recall_06,2,1,0,0.5457085371017456
early_recall_06,2,2,13,0.2925437390804291
early_recall_06,2,3,12,0.029579054564237595
early_recall_06,3,1,0,0.5527154803276062
early_recall_06,3,2,13,0.3022546172142029
early_recall_06,3,3,12,0.029946621507406235
early_recall_07,0,1,0,0.5094171762466431
early_recall_07,0,2,13,0.3290106952190399
early_recall_07,0,3,12,0.03515375033020973
early_recall_07,1,1,0,0.5031667947769165
early_recall_07,1,2,13,0.3424396514892578
early_recall_07,1,3,12,0.02596055343747139
early_recall_07,2,1,0,0.5513739585876465
early_recall_07,2,2,13,0.2927834093570709
early_recall_07,2,3,12,0.024956565350294113
early_recall_07,3,1,0,0.557856023311615
early_recall_07,3,2,13,0.30176112055778503
early_recall_07,3,3,12,0.02480245754122734
early_recall_08,0,1,0,0.5061906576156616
early_recall_08,0,2,13,0.32598400115966797
early_recall_08,0,3,12,0.037062905728816986
early_recall_08,1,1,0,0.49959248304367065
early_recall_08,1,2,13,0.33913078904151917
early_recall_08,1,3,12,0.02844397723674774
early_recall_08,2,1,0,0.5525046586990356
early_recall_08,2,2,13,0.28050652146339417
early_recall_08,2,3,12,0.02773461490869522
early_recall_08,3,1,0,0.5553184747695923
early_recall_08,3,2,13,0.2926580607891083
early_recall_08,3,3,12,0.027208074927330017
early_recall_09,0,1,0,0.5089767575263977
early_recall_09,0,2,13,0.326403945684433
early_recall_09,0,3,12,0.03813236951828003
early_recall_09,1,1,0,0.5029807090759277
early_recall_09,1,2,13,0.3378445506095886
early_recall_09,1,3,12,0.0287851020693779
early_recall_09,2,1,0,0.5546037554740906
early_recall_09,2,2,13,0.2849504351615906
early_recall_09,2,3,12,0.02688489854335785
early_recall_09,3,1,0,0.5562964677810669
early_recall_09,3,2,13,0.2973787784576416
early_recall_09,3,3,12,0.026933476328849792
early_recall_10,0,1,0,0.510854184627533
early_recall_10,0,2,13,0.32662639021873474
early_recall_10,0,3,12,0.036410752683877945
early_recall_10,1,1,0,0.5034140348434448
early_recall_10,1,2,13,0.33942073583602905
early_recall_10,1,3,12,0.027417702600359917
early_recall_10,2,1,0,0.5524173974990845
early_recall_10,2,2,13,0.28504353761672974
early_recall_10,2,3,12,0.025746755301952362
early_recall_10,3,1,0,0.5581229329109192
early_recall_10,3,2,13,0.28932684659957886
early_recall_10,3,3,12,0.0259004607796669
middle_recall_01,0,1,0,0.4638856053352356
middle_recall_01,0,2,13,0.3144753575325012
middle_recall_01,0,3,6,0.0515981987118721
middle_recall_01,1,1,0,0.4916306436061859
middle_recall_01,1,2,13,0.2907426655292511
middle_recall_01,1,3,6,0.0471908301115036
middle_recall_01,2,1,0,0.4458709955215454
middle_recall_01,2,2,13,0.33372050523757935
middle_recall_01,2,3,6,0.06514304876327515
middle_recall_01,3,1,0,0.47165822982788086
middle_recall_01,3,2,13,0.3386504650115967
middle_recall_01,3,3,6,0.053888313472270966
middle_recall_02,0,1,0,0.46456900238990784
middle_recall_02,0,2,13,0.31719401478767395
middle_recall_02,0,3,6,0.048664044588804245
middle_recall_02,1,1,0,0.48836395144462585
middle_recall_02,1,2,13,0.29155367612838745
middle_recall_02,1,3,6,0.04586172103881836
middle_recall_02,2,1,0,0.4470447897911072
middle_recall_02,2,2,13,0.33368632197380066
middle_recall_02,2,3,6,0.06182359158992767
middle_recall_02,3,1,0,0.4709434509277344
middle_recall_02,3,2,13,0.33911246061325073
middle_recall_02,3,3,6,0.05351923406124115
middle_recall_03,0,1,0,0.4638422727584839
middle_recall_03,0,2,13,0.314105361700058
middle_recall_03,0,3,6,0.05464243143796921
middle_recall_03,1,1,0,0.4904082715511322
middle_recall_03,1,2,13,0.2889961302280426
middle_recall_03,1,3,6,0.05056096613407135
middle_recall_03,2,1,0,0.44634246826171875
middle_recall_03,2,2,13,0.33517831563949585
middle_recall_03,2,3,6,0.0653730034828186
middle_recall_03,3,1,0,0.4712499976158142
middle_recall_03,3,2,13,0.3336246609687805
middle_recall_03,3,3,6,0.0578986220061779
middle_recall_04,0,1,0,0.45690762996673584
middle_recall_04,0,2,13,0.3222917914390564
middle_recall_04,0,3,6,0.0488714799284935
middle_recall_04,1,1,0,0.48424240946769714
middle_recall_04,1,2,13,0.29351910948753357
middle_recall_04,1,3,6,0.04745936766266823
middle_recall_04,2,1,0,0.43952903151512146
middle_recall_04,2,2,13,0.3370130658149719
middle_recall_04,2,3,6,0.06458809226751328
middle_recall_04,3,1,0,0.46455565094947815
middle_recall_04,3,2,13,0.3386651873588562
middle_recall_04,3,3,6,0.05833513289690018
middle_recall_05,0,1,0,0.463623970746994
middle_recall_05,0,2,13,0.3124174177646637
middle_recall_05,0,3,6,0.05408260598778725
middle_recall_05,1,1,0,0.4905257821083069
middle_recall_05,1,2,13,0.2898894250392914
middle_recall_05,1,3,6,0.04748081415891647
